t,quantum,M1,M3,M5_noisy
0.0,0.3792318332910986,0.4795981751176645,0.405147978838879,0.5909175681621484
0.13333333333333333,0.37479786485838956,0.47514905545674835,0.40063198092738417,0.5836580146193664
0.26666666666666666,0.3616204741911598,0.4619015384846631,0.3872543812629088,0.5625619908942023
0.4,0.34006460810513195,0.4401573564179104,0.36550005578818334,0.528934614069816
0.5333333333333333,0.3107120545931865,0.4104211020696613,0.3360991082254315,0.48367857646247425
0.6666666666666666,0.2743285193615655,0.3733896824568269,0.2999366056278094,0.42745760707885555
0.8,0.2318282447293759,0.32992629604800233,0.25796777788677444,0.36147396039406116
0.9333333333333333,0.1842419117053455,0.28102407474128327,0.2111697050019991,0.28763435612096205
1.0666666666666667,0.13269091530606258,0.2277683485353305,0.1605361690106215,0.20808074879344682
1.2,0.07836800250082288,0.17130393861924634,0.10709108293083901,0.12484148303578607
1.3333333333333333,0.022521569480699912,0.11280888340424639,0.051912497416338646,0.03994627410463604
1.4666666666666666,-0.03356075110169997,0.05347249959523758,-0.0038280827596562056,-0.04436212229289841
1.6,-0.08857374144998731,-0.005525131049778266,-0.05884352649254448,-0.12579138770816634
1.7333333333333334,-0.14122443423257652,-0.06303357988639195,-0.1117775662632255,-0.20240666993055142
1.8666666666666667,-0.19027009383218257,-0.11795132940649335,-0.16131572008309647,-0.27276638270080517
2.0,-0.23456098529917424,-0.16924284292144717,-0.20629664833071354,-0.3356932710888895
2.1333333333333333,-0.27308229724146105,-0.2159557581166742,-0.24577328464235007,-0.3901191653103123
2.2666666666666666,-0.3049892644675976,-0.2572422675448757,-0.27902343506672045,-0.4352099391776875
2.4,-0.3296311271617599,-0.29238480079547097,-0.3055399143497188,-0.4704105684424057
2.533333333333333,-0.346562231111165,-0.32082093065690315,-0.3250123434141296,-0.49517872688376574
2.6666666666666665,-0.35554126545328607,-0.3421619183613952,-0.3372896578759056,-0.5087788750271399
2.8,-0.35652157990114197,-0.3562023964581819,-0.34233616209310935,-0.5104849489595583
2.933333333333333,-0.3496364083042354,-0.3629213719500788,-0.34021214844698416,-0.4999827609886742
3.0666666666666664,-0.33518269075957313,-0.36247514002954917,-0.33108705368455726,-0.47754623601688684
3.2,-0.3136062351902657,-0.35518271817809044,-0.3152672214424306,-0.4439933480298371
3.3333333333333335,-0.28548944498488227,-0.3415061570602585,-0.29321156166055684,-0.4007961636815502
3.466666666666667,-0.25154109966069627,-0.32202928322426355,-0.2655240999585299,-0.35019084944137185
3.6,-0.2125861893931095,-0.2974366006804552,-0.23293400866285788,-0.2946527989398415
3.7333333333333334,-0.16955308607815078,-0.2684914177153877,-0.19627561311340466,-0.23592142154774148
3.8666666666666667,-0.12345566931599349,-0.23601267730951325,-0.15646213263182826,-0.1746811310865081
4.0,-0.07536927573517832,-0.2008529137845343,-0.11444865224737553,-0.11130880182535842
4.133333333333333,-0.026400996888116483,-0.16387982041119176,-0.07120669579729084,-0.04668030720157009
4.266666666666667,0.02234368805970272,-0.12595999847021297,-0.027719983959193825,0.017867510329664674
4.4,0.06979508823086832,-0.08794146856417519,0.015026205329083197,0.08095161599219473
4.533333333333333,0.11495119049727098,-0.05063421321620763,0.056086333838638244,0.1411780459435813
4.666666666666667,0.15690437951692157,-0.014791254705915356,0.09461069949401646,0.1969508276145887
4.8,0.1948606751224585,0.01890686928646824,0.12988136472404518,0.24659818686633053
4.933333333333334,0.22815022939176777,0.049863352052531035,0.16131113566572716,0.2887578638044771
5.066666666666666,0.2562294444485009,0.07757364048038806,0.1884141351944195,0.3224723649934026
5.2,0.2786769098262771,0.10163362440419493,0.21076406638994644,0.3469368453211803
5.333333333333333,0.2951866748491406,0.12174828689195796,0.2279483465196921,0.36140564180275025
