"time_au","qm_adiabatic","qm_nonadiabatic","cmd","cmd_se","fssh","fssh_se"
"0","0","0","0","0","0","0"
"100","-8.14777749742869E-10","1.65779118211569E-09","0","0","0","0"
"200","-1.51653603114917E-09","-4.62252171049049E-10","0","0","0","0"
"300","-2.03064398874833E-09","-1.42837986946182E-09","0","0","0","0"
"400","-2.32211499187541E-09","8.63756812362246E-10","0","0","0","0"
"500","-2.39593056083636E-09","1.04426981584181E-09","0","0","0","0"
"600","-2.28540455638687E-09","-1.10245046001123E-09","0","0","0","0"
"700","-2.03735741553083E-09","-5.43618313373443E-10","0","0","0","0"
"800","-1.69995936737672E-09","1.17665883789155E-09","0","0","0","0"
"900","-1.31545688361329E-09","4.75891226058698E-11","0","0","0","0"
"1000","-9.17314889247612E-10","-1.05981981219729E-09","0","0","0","0"
"1100","-5.30498349797145E-10","3.78204760008858E-10","0","0","0","0"
"1200","-1.73756542837569E-10","7.99251009344219E-10","0","0","0","0"
"1300","1.36984614923357E-10","-6.69499574227269E-10","0","0","0","0"
"1400","3.86249238531748E-10","-4.7545823650521E-10","0","0","0","0"
"1500","5.6305109678197E-10","7.56636144880647E-10","0","0","0","0"
"1600","6.72560120857779E-10","1.1743410233689E-10","0","0","0","0"
"1700","7.31926100741617E-10","-6.72254311558116E-10","0","0","0","0"
"1800","7.49032700538405E-10","2.16422183787951E-10","0","0","0","0"
"1900","7.32636590058405E-10","5.04840284271159E-10","0","0","0","0"
"2000","6.90104628896126E-10","-4.04945632510611E-10","0","0","0","0"
"2100","6.28555004831488E-10","-2.479476790516E-10","0","0","0","0"
"2200","5.54250144590206E-10","4.71831733782678E-10","0","0","0","0"
"2300","4.75048526019513E-10","-8.65258313089119E-12","0","0","0","0"
"2400","3.84042748216302E-10","-4.19692507883806E-10","0","0","0","0"
"2500","2.71259579163255E-10","1.98275965816772E-10","0","0","0","0"
"2600","2.92018296374498E-10","2.64202557119246E-10","0","0","0","0"
"2700","4.30256059989321E-10","-2.98047549669259E-10","0","0","0","0"
"2800","-5.94174030666949E-10","-1.09548666355314E-10","0","0","0","0"
"2900","-5.73113150345977E-10","1.92771808169326E-10","0","0","0","0"
"3000","2.58620955172813E-09","1.37281459634557E-11","0","0","0","0"
"3100","-1.79033482774476E-09","-1.67439243306633E-11","0","0","0","0"
"3200","1.37378177521882E-09","3.86035932267812E-10","0","0","0","0"
"3300","-6.78000221841803E-09","-8.21583236775776E-10","0","0","0","0"
"3400","4.81699486536314E-09","2.79870132826129E-10","0","0","0","0"
"3500","-3.26603277772792E-09","-8.85323310134999E-10","0","0","0","0"
"3600","7.48857728825945E-09","1.34763357123397E-09","0","0","0","0"
"3700","7.26177105177701E-09","1.1581206429092E-09","0","0","0","0"
"3800","-1.62537948862238E-08","-1.5394688096993E-09","0","0","0","0"
"3900","6.39211237160395E-09","1.68494156652555E-09","0","0","0","0"
"4000","-3.37423255868114E-09","-1.68135926381994E-09","0","0","0","0"
"4100","-3.10158037056758E-08","-2.09381512843218E-09","0","0","0","0"
"4200","5.72114254880568E-09","-8.35992602868491E-10","0","0","0","0"
"4300","9.19190021463135E-09","-5.15188553362843E-10","0","0","0","0"
"4400","-1.01612463233751E-07","-1.85507830156579E-08","0","0","0","0"
"4500","-2.78300673232133E-07","-6.26698586180536E-08","0","0","0","0"
"4600","-5.92398505516531E-07","-1.46143850769003E-07","0","0","0","0"
"4700","-1.28996657534924E-06","-3.41446146690134E-07","0","0","0","0"
"4800","-2.54563934161406E-06","-6.8758618587457E-07","0","0","0","0"
"4900","-4.30502563150911E-06","-1.25987645871647E-06","0","0","0","0"
"5000","-6.23572014917466E-06","-2.03095517482432E-06","0","0","0","0"
"5100","-7.44480998824673E-06","-2.87347358551148E-06","0","0","0","0"
"5200","-5.77275152480093E-06","-3.3325995837699E-06","0","0","0","0"
"5300","3.26663124590166E-06","-2.28934570629727E-06","0","0","0","0"
"5400","2.77856034155629E-05","2.38006964005276E-06","0","0","0","0"
"5500","8.10655813763254E-05","1.4492643500688E-05","0","0","0.000222597115656707","0.000222485789260318"
"5600","0.000183468441496222","4.03470085810013E-05","0","0","0.000222597115656707","0.000222485789260318"
"5700","0.000364830728089102","8.98647785437068E-05","0.000794559336063359","0.00079416195702572","0.000222597115656707","0.000222485789260318"
"5800","0.000667294351817323","0.000177953504988851","0.000794559336063359","0.00079416195702572","0.000445194231313415","0.000314484902489414"
"5900","0.00114832335328763","0.000326059432747203","0.00158911867212672","0.00112255235018096","0.00111298557828354","0.000496496367152833"
"6000","0.00188353461378794","0.000564592904605689","0.0039727966803168","0.00177224139979973","0.00155817980959695","0.000586871712533296"
"6100","0.00296901344474081","0.00093656173283464","0.00556191535244352","0.00209483576141195","0.00155817980959695","0.000586871712533296"
"6200","0.00452301629164647","0.00150322895863015","0.00794559336063359","0.00250002258617836","0.00200337404091037","0.000664779493922892"
"6300","0.00668721885045609","0.00235292688243121","0.011123830704887","0.00295208467524312","0.00378415096616402","0.000909956752677254"
"6400","0.00962758496620811","0.00361313556720488","0.0135075087130771","0.0032480862616776","0.00467453942879085","0.00100930058704089"
"6500","0.0135343497549126","0.00546304731465129","0.0190694240655206","0.00384553585218238","0.00712310770101463","0.00123888843946406"
"6600","0.0186200229865805","0.00813714237731518","0.0262204580900909","0.00448845155358566","0.00890388462626829","0.00137938387496357"
"6700","0.0251146429552355","0.0119029765001199","0.0349606107867878","0.00515325483442595","0.0120202442454622","0.00159096996414403"
"6800","0.0332589969851807","0.0169962628642801","0.0405225261392313","0.00552770081861284","0.0155817980959695","0.00179601527861108"
"6900","0.0432975725953282","0.0235126486368637","0.050851797508055","0.00614970447711338","0.0207015317560738","0.00204439424806714"
"7000","0.0554714062737585","0.0312944053516064","0.0651538655571955","0.00689373526921665","0.0238178913752677","0.00217589107530577"
"7100","0.0700089139444402","0.0398981260722014","0.0850178489587795","0.00776683275091237","0.0291602221510287","0.00237500795510888"
"7200","0.087115172628532","0.0487434712548495","0.104881832360363","0.00850497738539566","0.0353929413894165","0.00257404474858079"
"7300","0.106961930521982","0.057467500869052","0.127924053106201","0.00923464603217031","0.0387318981242671","0.00266860429327067"
"7400","0.129676733688271","0.0663297328245607","0.151760833188102","0.00987682319212071","0.0447420202469982","0.00282092117576032"
"7500","0.155331578555057","0.0763292706883266","0.181159528622446","0.0105414998920028","0.0485261712131622","0.00290637169909568"
"7600","0.183932533086215","0.0887215081154553","0.21055822405679","0.0110890142479525","0.0543136962202366","0.00302325892410411"
"7700","0.215408592310694","0.104019514591558","0.246313394179641","0.01162068495359","0.0594334298803409","0.00311406125142195"
"7800","0.249606850019385","0.121168306350611","0.290014157663126","0.0120964972168283","0.063885372193475","0.0031842359841293"
"7900","0.286294675030994","0.137812088136733","0.326563887122041","0.0123624598264949","0.0661113433500421","0.00321643974331285"
"8000","0.325169453560884","0.151883167399284","0.383772159318603","0.0125558226269619","0.069227702969236","0.00325843707106558"
"8100","0.365870651104851","0.163389022301569","0.41396541408901","0.012552000657659","0.0710084798944896","0.00328086552524704"
"8200","0.407986463206348","0.174575872301335","0.463228092924938","0.012388782825018","0.0718988683571165","0.00329166119827686"
"8300","0.451057759639966","0.187834194479317","0.51090165308874","0.0120383212759527","0.0730118539354","0.00330476886932879"
"8400","0.494583681323697","0.203140466375612","0.553807857236161","0.0115468636700936","0.0739022423980268","0.0033149486522278"
"8500","0.538036354718876","0.217853177828532","0.589563027359013","0.0109935546734056","0.0741248395136835","0.00331745137738791"
"8600","0.580880331509394","0.229437360607074","0.635647468850688","0.0100504689524455","0.0750152279763104","0.00332729453903907"
"8700","0.62259743996385","0.238152669269791","0.666635282957158","0.00923464603217031","0.0756830193232805","0.00333450182061204"
"8800","0.662715494244292","0.246382268369333","0.692061181711186","0.00842229148297425","0.0759056164389372","0.00333687109047933"
"8900","0.700831430630871","0.255361822725272","0.719870758473404","0.00733253864626577","0.0765734077859073","0.00334387992146862"
"9000","0.736623862406221","0.263685888197582","0.735761945194671","0.00657730056162235","0.076796004901564","0.00334618332077091"
"9100","0.769854561986358","0.269733733922359","0.744502097891368","0.00610472921870378","0.076796004901564","0.00334618332077091"
"9200","0.800362920514242","0.274448638200214","0.756420487932318","0.00537112708027457","0.0770186020172207","0.00334847033796899"
"9300","0.828055977347487","0.280030693143395","0.765160640629015","0.00474286038506303","0.0772411991328774","0.0033507410066072"
"9400","0.852904822805617","0.28624873246465","0.770722555981459","0.0042862039231808","0.0774637962485341","0.00335299535989959"
"9500","0.874945272716342","0.290335014346215","0.777079030669965","0.00368559069497869","0.0776863933641909","0.00335523343073257"
"9600","0.894277647125784","0.291325027453785","0.781846386686346","0.00315270892004711","0.0776863933641909","0.00335523343073257"
"9700","0.911058946889078","0.292223550927548","0.786613742702726","0.00250002258617836","0.0781315875955043","0.00335966085494424"
"9800","0.925487008361551","0.295911374150114","0.788997420710916","0.00209483576141195","0.0781315875955043","0.00335966085494424"
"9900","0.937787279710433","0.300650390335403","0.790586539383043","0.00177224139979973","0.0787993789424744","0.00336618067643658"
"10000","0.948203887464555","0.30253344900329","0.791381098719106","0.00158593725017271","0.0787993789424744","0.00336618067643658"
"10100","0.956985231174941","0.301513240359428","0.792970217391233","0.00112255235018096","0.0787993789424744","0.00336618067643658"
"10200","0.964366191556749","0.301499415334784","0.792970217391233","0.00112255235018096","0.0787993789424744","0.00336618067643658"
"10300","0.970563935448654","0.304266143262348","0.793764776727296","0.00079416195702572","0.0787993789424744","0.00336618067643658"
"10400","0.975776962051222","0.306976722509617","0.793764776727296","0.00079416195702572","0.0790219760581311","0.00336832172511794"
"10500","0.980176651053717","0.30709521240898","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"10600","0.983906782063712","0.30626937055217","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"10700","0.98708849136071","0.307058223918119","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"10800","0.98981678221902","0.30874120345214","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"10900","0.992167295148957","0.309229734735799","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"11000","0.994202721113976","0.308859976361886","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"11100","0.995971519557233","0.309256684471482","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"11200","0.997514438703337","0.310155568691629","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"11300","0.998862641573746","0.310277216673756","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"11400","1.00004172453226","0.309979565469142","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"11500","1.00107397399803","0.310372084904787","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"11600","1.00197687868004","0.311038151731719","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"11700","1.00276609973463","0.310999412634154","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"11800","1.00345370172633","0.310697067776926","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"11900","1.00405185026744","0.310970942864118","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"12000","1.00456972819846","0.311394843257829","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"12100","1.00501680672797","0.31133351094982","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"12200","1.00540102985206","0.31121835971805","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"12300","1.00573076198124","0.311446372151774","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"12400","1.00601291992064","0.311558146323226","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"12500","1.00625517879737","0.311411248242688","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"12600","1.00646381611913","0.311519443469057","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"12700","1.00664538263629","0.31179443277338","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"12800","1.0068053179076","0.311673247499756","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"12900","1.00694849495009","0.311440977423903","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"13000","1.00707901117601","0.31168506478944","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"13100","1.00719974360431","0.311968464451263","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"13200","1.00731304193567","0.311726740564893","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"13300","1.00741973827922","0.311509030968353","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"13400","1.00752016460501","0.311807610539158","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
"13500","1.00761350959373","0.312001714802695","0.794559336063359","0","0.0790219760581311","0.00336832172511794"
