time,q,p,pop_lower,pop_upper,mean_energy
0.0,-10.0,20.0,1.0,0.0,0.09000000112535175
2.0,-9.980000000001821,19.99999999634064,1.0,2.0868569288136944e-89,0.0900000011253518
4.0,-9.96000000000736,19.999999992562287,1.0,1.2908908688090623e-88,0.09000000112535182
6.0,-9.940000000016738,19.999999988661067,1.0,4.602981206267234e-88,0.0900000011253518
8.0,-9.92000000003008,19.99999998463299,1.0,1.327556734544609e-87,0.09000000112535181
10.0,-9.900000000047516,19.99999998047393,1.0,3.44034180065981e-87,0.09000000112535182
12.0,-9.880000000069177,19.999999976179623,1.0,8.387313370859342e-87,0.09000000112535175
14.0,-9.860000000095205,19.999999971745673,1.0,1.9696622098371495e-86,0.09000000112535168
16.0,-9.840000000125738,19.99999996716755,1.0,4.5157722462426775e-86,0.0900000011253517
18.0,-9.820000000160919,19.999999962440558,1.0,1.0189281210143948e-85,0.0900000011253517
20.0,-9.800000000200905,19.999999957559854,1.0,2.274097877332139e-85,0.09000000112535168
22.0,-9.780000000245852,19.999999952520444,1.0,5.036434844440621e-85,0.09000000112535168
24.0,-9.760000000295923,19.999999947317164,1.0,1.1091500768194496e-84,0.09000000112535168
26.0,-9.740000000351278,19.99999994194468,1.0,2.4322212847415707e-84,0.09000000112535159
28.0,-9.720000000412092,19.9999999363975,0.9999999999999998,5.31559961395764e-84,0.09000000112535159
30.0,-9.700000000478546,19.999999930669944,1.0000000000000004,1.1585010571110271e-83,0.09000000112535159
32.0,-9.68000000055082,19.99999992475614,1.0,2.518877949964437e-83,0.09000000112535157
34.0,-9.6600000006291,19.999999918650033,1.0,5.465101444382074e-83,0.09000000112535156
36.0,-9.640000000713584,19.99999991234537,1.0,1.1834377134647497e-82,0.09000000112535154
38.0,-9.620000000804477,19.999999905835693,1.0,2.557990416338784e-82,0.0900000011253515
40.0,-9.600000000901984,19.999999899114343,1.0,5.519403161662075e-82,0.09000000112535149
42.0,-9.580000001006322,19.99999989217443,1.0,1.1889050095142775e-81,0.09000000112535149
