case,gap,temperature,boltzmann_high,pmatrix_db_high,pmatrix_no_db_high,fssh_high,ehrenfest_high,pmatrix_db_abs_error,pmatrix_no_db_abs_error,fssh_abs_error,ehrenfest_abs_error
gap_0.001_T300,0.001,300.0,0.2587293226652969,0.2587339696126912,0.5000000020202057,0.15625,0.0940538619737964,4.646947394271184e-06,0.24127067935490876,0.10247932266529691,0.16467546069150052
gap_0.002_T300,0.002,300.0,0.10859564580706031,0.10867310763201647,0.5000000056635976,0.90625,0.8960045745945477,7.746182495615983e-05,0.39140435985653727,0.7976543541929397,0.7874089287874875
gap_0.003_T300,0.003,300.0,0.04078698063002502,0.041068331398785435,0.5000000231775895,1.0,0.9886774957545521,0.0002813507687604161,0.4592130425475645,0.9592130193699749,0.947890515124527
gap_0.002_T600,0.002,600.0,0.2587293226652969,0.25873691034724994,0.5000000056635976,0.8125,0.8960045745945477,7.5876819530251716e-06,0.24127068299830068,0.5537706773347031,0.6372752519292508
