case,reference,final_abs_diff_pop1,rms_diff_pop1,max_abs_diff_pop1
coarse320_dt2,base384_dt2,0.0005444635475178594,0.000673158898590916,0.002062889982684113
base384_dt2,base384_dt2,0.0,0.0,0.0
fine448_dt2,base384_dt2,0.00042238472102296143,0.0005114870278022619,0.001459685853239856
wide384_dt2,base384_dt2,0.00012127890264135299,0.00015671005490040362,0.0006849394063296599
base384_dt1,base384_dt2,0.0,0.0,0.0
