method,final_pop1,final_pop2,final_pop3,rms_pop1_vs_dvr,rms_pop2_vs_dvr,rms_pop3_vs_dvr,rms_all_states_vs_dvr
ehrenfest,0.5391826895342505,0.20519657468141053,0.25562073578433914,0.0704986115940737,0.03509227287788012,0.0740607843546661,0.0624139985143718
fssh,0.61,0.31333333333333335,0.07666666666666666,0.024581893334573317,0.03849091996418567,0.018109221200443185,0.028365262159246053
spinmint,0.6470661598447401,0.2394892103426151,0.11344462981264454,0.011280149765682318,0.012555804801526354,0.005957172448978755,0.01033405239224714
dvr,0.6409882815499451,0.24989950948256182,0.10911220896747134,0.0,0.0,0.0,0.0
