time,ehrenfest_pop0,ehrenfest_pop1,fssh_pop0,fssh_pop1,mmst_pop0,mmst_pop1,spinmint_pop0,spinmint_pop1,dvr_pop0,dvr_pop1
0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.1232334506949826e-16,1.0,1.3283837878139996e-19,0.99999999999999
5.0,2.159638461533372e-89,1.0,0.0,1.0,-9.194034422677078e-17,1.0,-2.1250362580715887e-17,1.0,1.6288897653080475e-19,0.9999999999999905
10.0,1.505712316167028e-88,0.9999999999999993,0.0,1.0,-1.6393136847980827e-16,1.0,-2.1250362580715887e-17,1.0,2.000261710072816e-19,0.9999999999999905
15.0,6.12549131250604e-88,0.9999999999999994,0.0,1.0,-2.5413698923060224e-16,1.0,-2.0816681711721685e-17,1.0,2.4558731989434345e-19,0.9999999999999898
20.0,2.0381817442449836e-87,0.9999999999999991,0.0,1.0,-3.703634621210483e-16,1.0000000000000002,-2.0816681711721685e-17,1.0,3.0114934772867565e-19,0.9999999999999903
25.0,6.154151024088874e-87,0.9999999999999987,0.0,1.0,-4.562322741819003e-16,1.0,-2.0816681711721685e-17,1.0,3.6857405990840184e-19,0.99999999999999
30.0,1.7629547736543724e-86,0.9999999999999984,0.0,1.0,-5.238864897449957e-16,1.0000000000000002,-2.0816681711721685e-17,1.0,4.500627059475462e-19,0.9999999999999902
35.0,4.898948170244857e-86,0.9999999999999989,0.0,1.0,-5.689893001203927e-16,1.0000000000000004,-2.1250362580715887e-17,1.0,5.48221832495781e-19,0.9999999999999898
40.0,1.3364798915968068e-85,0.999999999999999,0.0,1.0,-6.730727086790012e-16,1.0000000000000002,-2.1250362580715887e-17,1.0,6.661427185691978e-19,0.9999999999999896
45.0,3.603759219189922e-85,0.9999999999999991,0.0,1.0,-7.303185833862358e-16,1.0000000000000004,-2.0816681711721685e-17,1.0,8.07497359354912e-19,0.9999999999999902
50.0,9.64210794237674e-85,0.9999999999999993,0.0,1.0,-8.049116928532385e-16,1.0000000000000004,-2.1250362580715887e-17,1.0,9.766543655709215e-19,0.9999999999999899
55.0,2.565609641298529e-84,0.9999999999999992,0.0,1.0,-9.211381657436846e-16,1.0000000000000004,-2.0816681711721685e-17,1.0,1.1788190515015985e-18,0.9999999999999899
60.0,6.797973252231474e-84,0.9999999999999984,0.0,1.0,-9.93129189996722e-16,1.0000000000000004,-2.0816681711721685e-17,1.0,1.4202026158580847e-18,0.9999999999999898
65.0,1.795007030813752e-83,0.9999999999999977,0.0,1.0,-1.0928757898653885e-15,1.0000000000000007,-1.9949319973733282e-17,1.0,1.7082265313971825e-18,0.99999999999999
70.0,4.725392669443933e-83,0.999999999999998,0.0,1.0,-1.1882855810441129e-15,1.0000000000000007,-1.9949319973733282e-17,1.0,2.0517693857720943e-18,0.9999999999999902
75.0,1.2405103949387787e-82,0.9999999999999982,0.0,1.0,-1.2750217548429532e-15,1.0000000000000007,-2.0383000842727483e-17,1.0,2.4614647089331287e-18,0.9999999999999898
80.0,3.2479731782753804e-82,0.9999999999999984,0.0,1.0,-1.3444106938820255e-15,1.0000000000000009,-2.0383000842727483e-17,1.0,2.9500604815854564e-18,0.9999999999999896
85.0,8.482151308809e-82,0.9999999999999987,0.0,1.0,-1.4285447824669006e-15,1.0000000000000007,-2.0383000842727483e-17,1.0,3.532852445722183e-18,0.9999999999999898
90.0,2.209521190013296e-81,0.9999999999999989,0.0,1.0,-1.5126788710517758e-15,1.0000000000000009,-2.0383000842727483e-17,1.0,4.228206302236371e-18,0.9999999999999896
95.0,5.741133337311651e-81,0.9999999999999991,0.0,1.0,-1.582067810090848e-15,1.0000000000000009,-2.0383000842727483e-17,1.0,5.058186751110202e-18,0.9999999999999901
100.0,1.4880196272763495e-80,0.9999999999999989,0.0,1.0,-1.6176296413483726e-15,1.0000000000000009,-2.0383000842727483e-17,1.0,6.049314294355448e-18,0.9999999999999895
105.0,3.8470971859924405e-80,0.9999999999999996,0.0,1.0,-1.676610239531584e-15,1.0000000000000009,-1.9949319973733282e-17,1.0,7.233475509747815e-18,0.9999999999999899
110.0,9.921374678157e-80,0.9999999999999993,0.0,1.0,-1.7659484985443896e-15,1.0000000000000009,-1.9949319973733282e-17,1.0,8.649017049624363e-18,0.9999999999999897
115.0,2.5522599231321466e-79,0.9999999999999997,0.0,1.0,-1.822327011513636e-15,1.0000000000000009,-1.9081958235744878e-17,1.0,1.0342059324589965e-17,0.9999999999999897
120.0,6.549259957722442e-79,1.0000000000000002,0.0,1.0,-1.9090631853124762e-15,1.0000000000000009,-1.9081958235744878e-17,1.0,1.2368073148232054e-17,0.9999999999999898
125.0,1.6763846488288843e-78,1.0000000000000009,0.0,1.0,-1.9940646356353398e-15,1.0000000000000009,-1.9081958235744878e-17,1.0,1.4793770375663367e-17,0.9999999999999893
130.0,4.2802493614757497e-78,1.0000000000000009,0.0,1.0,-2.067790383364354e-15,1.0000000000000009,-1.9081958235744878e-17,1.0,1.7699369559182982e-17,0.9999999999999899
135.0,1.0901299448945581e-77,1.0000000000000004,0.0,1.0,-2.1527918336872176e-15,1.000000000000001,-1.9081958235744878e-17,1.0,2.1181309417429945e-17,0.9999999999999897
140.0,2.769498610763103e-77,1.0000000000000007,0.0,1.0,-2.2169766022983595e-15,1.000000000000001,-1.8648277366750676e-17,1.0,2.5355495553671035e-17,0.9999999999999899
145.0,7.018392085109013e-77,1.0000000000000009,0.0,1.0,-2.2854981795994433e-15,1.000000000000001,-1.8648277366750676e-17,1.0,3.036118349673172e-17,0.9999999999999897
150.0,1.7741389323349045e-76,1.0000000000000009,0.0,1.0,-2.379173247302191e-15,1.0000000000000013,-1.9081958235744878e-17,1.0,3.6365619628703916e-17,0.9999999999999896
155.0,4.4735376888435985e-76,1.0000000000000013,0.0,1.0,-2.467644144577008e-15,1.0000000000000013,-1.9081958235744878e-17,1.0,4.356958314411134e-17,0.999999999999989
160.0,1.1251955662011402e-75,1.000000000000001,0.0,1.0,-2.57519700008757e-15,1.0000000000000013,-1.9081958235744878e-17,1.0,5.2214000797394805e-17,0.9999999999999897
165.0,2.8230484607850385e-75,1.0000000000000007,0.0,1.0,-2.6445859391266424e-15,1.0000000000000018,-1.951563910473908e-17,1.0,6.258783841144563e-17,0.9999999999999892
170.0,7.065160672858393e-75,1.0000000000000002,0.0,1.0,-2.7356589216154248e-15,1.0000000000000018,-1.951563910473908e-17,1.0,7.503750515160852e-17,0.999999999999989
175.0,1.763758516222418e-74,1.0000000000000007,0.0,1.0,-2.800711051964555e-15,1.000000000000002,-1.951563910473908e-17,1.0,8.997805967899084e-17,0.9999999999999895
180.0,4.3920731245714745e-74,1.0000000000000009,0.0,1.0,-2.8640284588377085e-15,1.000000000000002,-1.951563910473908e-17,1.0,1.0790655216878046e-16,0.9999999999999893
185.0,1.0909713510632614e-73,1.0000000000000007,0.0,1.0,-2.9394889300426996e-15,1.0000000000000022,-1.951563910473908e-17,1.0,1.2941789817566688e-16,0.999999999999989
190.0,2.7031519871275694e-73,1.0000000000000007,0.0,1.0,-3.000204251701888e-15,1.0000000000000022,-1.951563910473908e-17,1.0,1.552237589703815e-16,0.9999999999999892
195.0,6.680991338060226e-73,1.0000000000000004,0.0,1.0,-3.0895425107146934e-15,1.0000000000000024,-1.951563910473908e-17,1.0,1.8617498046630292e-16,0.9999999999999886
