time,pmatrix_tau_abs_rho01,pmatrix_inf_abs_rho01,ehrenfest_abs_rho01
0.0,0.5,0.5,0.4999999999999999
2.0,0.49009933666141653,0.5,0.5
4.0,0.48039471959192104,0.5,0.5000000000000001
6.0,0.4708822668152954,0.49999999999999994,0.5000000000000002
8.0,0.4615581732236008,0.49999999999999994,0.5000000000000003
10.0,0.4524187090550839,0.49999999999999994,0.5000000000000006
12.0,0.4434602184022221,0.4999999999999999,0.5000000000000007
14.0,0.4346791177493119,0.4999999999999999,0.500000000000001
16.0,0.4260718945390151,0.49999999999999983,0.5000000000000011
18.0,0.41763510576728863,0.49999999999999983,0.5000000000000012
20.0,0.40936537660613737,0.49999999999999983,0.5000000000000013
22.0,0.40125939905363783,0.49999999999999983,0.5000000000000016
24.0,0.39331393061069303,0.49999999999999983,0.5000000000000018
26.0,0.3855257929839902,0.4999999999999998,0.500000000000002
28.0,0.3778918708146404,0.4999999999999998,0.5000000000000022
30.0,0.3704091104319939,0.4999999999999998,0.5000000000000024
32.0,0.3630745186321312,0.4999999999999998,0.5000000000000026
34.0,0.3558851614805412,0.4999999999999997,0.5000000000000028
36.0,0.3488381631385087,0.4999999999999997,0.500000000000003
38.0,0.3419307047127403,0.4999999999999997,0.5000000000000031
40.0,0.3351600231277694,0.4999999999999997,0.5000000000000032
42.0,0.32852341002068963,0.4999999999999997,0.5000000000000032
44.0,0.32201821065777314,0.4999999999999997,0.5000000000000034
46.0,0.3156418228725418,0.4999999999999997,0.5000000000000036
48.0,0.30939169602486616,0.4999999999999997,0.5000000000000038
50.0,0.30326532998067507,0.49999999999999967,0.5000000000000039
52.0,0.2972602741118689,0.49999999999999967,0.500000000000004
54.0,0.2913741263160356,0.49999999999999967,0.5000000000000041
56.0,0.28560453205557773,0.4999999999999996,0.5000000000000043
58.0,0.27994918341586583,0.49999999999999967,0.5000000000000044
60.0,0.2744058181820422,0.49999999999999967,0.5000000000000046
62.0,0.26897221893410433,0.49999999999999967,0.5000000000000048
64.0,0.26364621215990763,0.49999999999999967,0.5000000000000049
66.0,0.25842566738573164,0.49999999999999967,0.5000000000000051
68.0,0.2533084963240619,0.49999999999999967,0.5000000000000052
70.0,0.24829265203824719,0.49999999999999967,0.5000000000000054
72.0,0.24337612812369774,0.49999999999999967,0.5000000000000054
74.0,0.23855695790529638,0.49999999999999967,0.5000000000000057
76.0,0.23383321365070242,0.49999999999999967,0.5000000000000058
78.0,0.2292030057992331,0.49999999999999967,0.5000000000000059
80.0,0.2246644822060139,0.49999999999999967,0.500000000000006
82.0,0.22021582740109605,0.4999999999999996,0.5000000000000063
84.0,0.21585526186324433,0.49999999999999956,0.5000000000000066
86.0,0.21158104130810484,0.4999999999999996,0.5000000000000068
88.0,0.2073914559904679,0.49999999999999956,0.5000000000000069
90.0,0.20328483002034736,0.4999999999999996,0.5000000000000071
92.0,0.19925952069260208,0.4999999999999996,0.5000000000000071
94.0,0.19531391782983218,0.49999999999999956,0.5000000000000072
96.0,0.19144644313828632,0.49999999999999956,0.5000000000000073
98.0,0.18765554957652347,0.49999999999999956,0.5000000000000075
100.0,0.18393972073657544,0.4999999999999995,0.5000000000000078
102.0,0.18029747023736364,0.4999999999999995,0.500000000000008
104.0,0.17672734113012684,0.4999999999999995,0.5000000000000082
106.0,0.1732279053156221,0.49999999999999944,0.5000000000000083
108.0,0.1697977629728661,0.49999999999999944,0.5000000000000085
110.0,0.16643554199918822,0.49999999999999944,0.5000000000000088
112.0,0.16313989746137098,0.49999999999999944,0.5000000000000089
114.0,0.15990951105765885,0.49999999999999944,0.500000000000009
116.0,0.1567430905904201,0.49999999999999944,0.5000000000000092
118.0,0.15363936944925044,0.4999999999999994,0.5000000000000095
120.0,0.1505971061043119,0.49999999999999944,0.5000000000000097
122.0,0.14761508360970443,0.4999999999999994,0.5000000000000097
124.0,0.14469210911667138,0.4999999999999994,0.5000000000000098
126.0,0.1418270133964439,0.4999999999999994,0.5000000000000099
128.0,0.13901865037253397,0.49999999999999933,0.5000000000000101
130.0,0.13626589666228858,0.49999999999999933,0.5000000000000101
132.0,0.13356765112752153,0.4999999999999993,0.5000000000000103
134.0,0.13092283443404362,0.4999999999999993,0.5000000000000105
136.0,0.1283303886199145,0.4999999999999993,0.5000000000000105
138.0,0.1257892766722438,0.4999999999999993,0.5000000000000108
140.0,0.12329848211237215,0.4999999999999993,0.5000000000000108
142.0,0.12085700858926625,0.4999999999999993,0.500000000000011
144.0,0.11846387948096503,0.4999999999999992,0.5000000000000112
146.0,0.1161181375039179,0.4999999999999992,0.5000000000000113
148.0,0.11381884433005864,0.4999999999999992,0.5000000000000115
150.0,0.11156508021146153,0.4999999999999992,0.5000000000000117
152.0,0.10935594361243006,0.49999999999999917,0.5000000000000119
154.0,0.10719055084887048,0.49999999999999917,0.500000000000012
156.0,0.10506803573480653,0.4999999999999991,0.5000000000000121
158.0,0.10298754923589337,0.4999999999999991,0.5000000000000122
160.0,0.10094825912979263,0.49999999999999906,0.5000000000000123
162.0,0.09894934967327232,0.49999999999999906,0.5000000000000124
164.0,0.09699002127589862,0.49999999999999906,0.5000000000000124
166.0,0.09506949018018919,0.49999999999999906,0.5000000000000128
168.0,0.09318698814809954,0.49999999999999906,0.500000000000013
170.0,0.09134176215371775,0.499999999999999,0.500000000000013
172.0,0.0895330740820439,0.49999999999999906,0.5000000000000132
174.0,0.08776020043373436,0.499999999999999,0.5000000000000132
176.0,0.08602243203569233,0.499999999999999,0.5000000000000133
178.0,0.0843190737573892,0.499999999999999,0.5000000000000135
180.0,0.082649444232803,0.49999999999999895,0.5000000000000138
182.0,0.08101287558786299,0.49999999999999895,0.500000000000014
184.0,0.07940871317329103,0.49999999999999895,0.5000000000000142
186.0,0.07783631530273326,0.4999999999999989,0.5000000000000144
188.0,0.07629505299607686,0.4999999999999989,0.5000000000000145
190.0,0.07478430972784977,0.4999999999999989,0.5000000000000148
192.0,0.0733034811806022,0.49999999999999883,0.5000000000000149
194.0,0.07185197500317153,0.4999999999999988,0.500000000000015
196.0,0.0704292105737341,0.4999999999999988,0.5000000000000153
198.0,0.06903461876754861,0.49999999999999883,0.5000000000000154
200.0,0.0676676417292987,0.49999999999999883,0.5000000000000155
202.0,0.06632773264994336,0.4999999999999988,0.5000000000000158
