time,pmatrix_db_low,pmatrix_db_high,pmatrix_no_db_low,pmatrix_no_db_high,fssh_low,fssh_high,ehrenfest_low,ehrenfest_high,boltzmann_high
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.10859564580706031
2.0,1.5893797468785145e-05,0.9999841062025312,1.5893759999999997e-05,0.99998410624,0.0,1.0,1.599980800204798e-05,0.9999840001919986,0.10859564580706031
4.0,6.315404818143674e-05,0.9999368459518185,6.315345760697421e-05,0.999936846542393,0.0,1.0,6.399795183412617e-05,0.9999360020481671,0.10859564580706031
6.0,0.00014115723879056348,0.9998588427612094,0.00014115427484642215,0.9998588457251536,0.0,1.0,0.00014399059107653278,0.9998560094089246,0.10859564580706031
8.0,0.00024929064211914626,0.999750709357881,0.0002492813505571256,0.9997507186494429,0.0,1.0,0.00025597132537140784,0.99974402867463,0.10859564580706031
10.0,0.00038695214422529076,0.9996130478557747,0.0003869296410937498,0.9996130703589062,0.0,1.0,0.0003999311949351695,0.9996000688050661,0.10859564580706031
12.0,0.0005535500739740585,0.9994464499260259,0.0005535037826374133,0.9994464962173626,0.0,1.0,0.0005758586812758664,0.9994241413187259,0.10859564580706031
14.0,0.0007485030350861548,0.9992514969649139,0.000748417955103731,0.9992515820448963,0.0,1.0,0.0007837397081153905,0.9992162602918868,0.10859564580706031
16.0,0.000971239740633462,0.9990287602593666,0.0009710957476376647,0.9990289042523623,0.0,1.0,0.0010235576425164732,0.9989764423574853,0.10859564580706031
18.0,0.0012211988499516173,0.9987788011500485,0.0012209700256843583,0.9987790299743157,0.0,1.0,0.0012952932962143797,0.9987047067037876,0.10859564580706031
20.0,0.0014978288079400422,0.9985021711920599,0.0014974827996249852,0.9985025172003751,0.0,1.0,0.0015989249271531859,0.9984010750728499,0.10859564580706031
22.0,0.001800587686720058,0.99819941231328,0.0018000850949664942,0.9981999149050336,0.0,1.0,0.0019344282412265229,0.9980655717587771,0.10859564580706031
24.0,0.0021289430296219233,0.9978710569703781,0.0021282368240740108,0.9978717631759261,0.0,1.0,0.00230177639422265,0.9976982236057815,0.10859564580706031
26.0,0.002482371697471879,0.9975176283025282,0.002481406659434523,0.9975185933405656,0.0,1.0,0.002700939993973689,0.9972990600060312,0.10859564580706031
28.0,0.0028603597171504786,0.9971396402828496,0.002859071908440373,0.9971409280915595,0.0,1.0,0.003131887102708859,0.9968681128972954,0.10859564580706031
30.0,0.003262402132393733,0.9967375978676062,0.0032607183896809686,0.9967392816103191,0.0,1.0,0.003594583239611516,0.9964054167603926,0.10859564580706031
32.0,0.003688002856808823,0.9963119971431913,0.0036858403107310075,0.9963141596892691,0.0,1.0,0.0040889913835798035,0.995911008616424,0.10859564580706031
34.0,0.004136674529076341,0.9958633254709236,0.004133940147423467,0.9958660598525766,0.0,1.0,0.004615071976190663,0.9953849280238137,0.10859564580706031
36.0,0.004607938370311311,0.9953920616296889,0.004604528524595464,0.9953954714754046,0.0,1.0,0.005172782924867017,0.9948272170751377,0.10859564580706031
38.0,0.005101324043555389,0.9948986759564445,0.005097124098295064,0.994902875901705,0.0,1.0,0.005762079606247806,0.9942379203937574,0.10859564580706031
40.0,0.0056163695153729765,0.9943836304846272,0.005611253439437011,0.9943887465605631,0.0,1.0,0.006382914869760677,0.9936170851302453,0.10859564580706031
42.0,0.006152620919524113,0.9938473790804758,0.006146450918895325,0.9938535490811046,0.0,1.0,0.007035239041396973,0.9929647609586087,0.10859564580706031
44.0,0.006709632422687373,0.9932903675773126,0.006702258594020613,0.9932977414059795,0.0,1.0,0.007718999927688772,0.9922810000723168,0.10859564580706031
46.0,0.007286966092206096,0.9927130339077939,0.007278226096569909,0.9927217739034302,0.0,1.0,0.008434142819887627,0.9915658571801184,0.10859564580706031
48.0,0.007884191765831649,0.9921158082341683,0.007873910522036839,0.9921260894779632,0.0,1.0,0.009180610498344675,0.9908193895016618,0.10859564580706031
50.0,0.008500886923437565,0.9914991130765625,0.00848887632036981,0.9915111236796302,0.0,1.0,0.009958343237091773,0.9900416567629154,0.10859564580706031
52.0,0.0091366365606787,0.9908633634393214,0.009122695188065936,0.9908773048119341,0.0,1.0,0.010767278808623295,0.9892327211913844,0.10859564580706031
54.0,0.009791033064569755,0.9902089669354303,0.00977494596162837,0.9902250540383717,0.0,1.0,0.011607352488878188,0.9883926475111302,0.10859564580706031
