gamma,final_upper_mean,rms_upper_vs_exact,global_min_pop,theory_min_pop,global_max_pop,theory_max_pop,outside_fraction,clip_l1_mean
0.0,0.031413499228874445,0.00022328444808642772,0.0,-0.0,1.0,1.0,0.0,1.5960930878213124e-16
0.3333333333,0.02895967066235201,0.005002432307535709,-0.16666657734204177,-0.16666666665,1.1666665773420413,1.16666666665,0.2960711163836164,0.04667350561459995
0.5,0.02830447055459576,0.006383843203046499,-0.2499998721179849,-0.25,1.2499998721179844,1.25,0.3578999125874126,0.08339489963183362
1.0,0.026604130729784327,0.0099764506764713,-0.4999981303921275,-0.5,1.499998130392127,1.5,0.48207651723276723,0.21837895320468198
