time,ehrenfest_pop1,ehrenfest_pop2,ehrenfest_pop3,fssh_pop1,fssh_pop2,fssh_pop3,spinmint_pop1,spinmint_pop2,spinmint_pop3,dvr_pop1,dvr_pop2,dvr_pop3
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-4.218847493575595e-17,-4.274358644806853e-17,0.9999999999999772,2.1893110875117398e-27,2.995988185764561e-27
10.0,1.0,3.861073504041028e-42,5.221363472645578e-208,1.0,0.0,0.0,1.0,2.4794980883295162e-17,3.959795454496392e-17,0.999999999999979,5.945703453770813e-20,1.0433433331824087e-20
20.0,1.0,1.1301141326754389e-41,1.6172692856981555e-207,1.0,0.0,0.0,1.0,4.6074255521943994e-17,4.42238838142354e-17,0.9999999999999787,1.238307032147596e-19,2.1327560987857234e-20
30.0,1.0,1.4848536637073032e-41,1.9110367488332458e-207,1.0,0.0,0.0,1.0,3.23815048849004e-17,3.4231876592608995e-17,0.9999999999999779,6.329325679068295e-20,1.0235538995219776e-20
40.0,1.0,1.1436266312180125e-41,4.097140416421587e-207,1.0,0.0,0.0,1.0,4.2373512106526807e-17,5.0145073278902903e-17,0.9999999999999781,2.4420458588847525e-21,1.2956245191505675e-21
50.0,1.0,8.853358402525428e-42,1.7210415701194677e-206,1.0,0.0,0.0,1.0,4.2928623618839385e-17,4.884981308350689e-17,0.9999999999999781,1.4470643408873012e-19,3.097042019548921e-20
60.0,1.0,2.1983193068528702e-41,5.057170329174854e-206,1.0,0.0,0.0,1.0,4.144832625267251e-17,4.977499893736118e-17,0.9999999999999786,3.803706551713169e-19,7.488851528366175e-20
70.0,1.0,5.717025062605489e-41,1.368405181980584e-205,1.0,0.0,0.0,1.0,6.161737786669619e-17,5.458596537740353e-17,0.999999999999978,3.828434112459231e-19,6.839355018864596e-20
80.0,1.0,1.0241195695491233e-40,4.474790895414461e-205,1.0,0.0,0.0,1.0,4.5889218351173137e-17,4.42238838142354e-17,0.9999999999999779,2.261478290829091e-19,2.689195246581251e-20
90.0,1.0,1.4604657489682284e-40,1.5762422222808093e-204,1.0,0.0,0.0,1.0,3.441691376337985e-17,3.608224830031759e-17,0.9999999999999784,5.921066147830503e-19,8.748625348029252e-20
100.0,1.0,2.1948578905868795e-40,5.5422067271783634e-204,1.0,0.0,0.0,1.0,2.6460315420232898e-17,3.793262000802618e-17,0.9999999999999782,1.994371315747429e-18,3.553547417913445e-19
110.0,1.0,4.286772136182038e-40,2.0333008486665368e-203,1.0,0.0,0.0,1.0,2.3684757858670008e-17,1.9984014443252817e-17,0.9999999999999786,4.058032436900548e-18,7.441380890776262e-19
120.0,1.0,9.84806844547924e-40,7.923042359640647e-203,1.0,0.0,0.0,1.0,2.960594732333751e-18,4.996003610813204e-18,0.9999999999999784,6.52837923474693e-18,1.1381299912506104e-18
130.0,1.0,2.5411239044408525e-39,3.2521977085518566e-202,1.0,0.0,0.0,1.0,3.7007434154171887e-19,1.8503717077085944e-19,0.9999999999999785,1.1761801267760197e-17,1.8635823922128307e-18
140.0,1.0,8.572085736972034e-39,1.5503040167203301e-201,1.0,0.0,0.0,1.0,-9.80697005085555e-18,-6.29126380620922e-18,0.9999999999999782,2.5885722978650888e-17,3.9597763885203565e-18
150.0,1.0,3.9905450579056293e-38,2.074399565935647e-200,1.0,0.0,0.0,1.0,-9.992007221626408e-18,-1.4247862149356175e-17,0.9999999999999784,5.655800417958275e-17,8.814214383204495e-18
160.0,1.0,2.2377021448485263e-37,1.2858728835594248e-198,1.0,0.0,0.0,1.0,-2.6090241078691177e-17,-2.849572429871235e-17,0.999999999999978,1.1012098788473625e-16,1.7569669749280972e-17
170.0,1.0,1.3462628624667617e-36,1.1153456369389766e-196,1.0,0.0,0.0,1.0,-1.4062824978585317e-17,-2.0724163126336256e-17,0.9999999999999782,1.9479166163201862e-16,3.1453191401883744e-17
180.0,1.0,8.289308895380245e-36,1.0142116163065556e-194,1.0,0.0,0.0,1.0,-1.955791563623962e-17,-3.6267285471088446e-17,0.999999999999978,3.328313296490015e-16,5.364234472178526e-17
190.0,1.0,5.37871228417897e-35,9.57945838649395e-193,1.0,0.0,0.0,1.0,-1.0120891808683024e-17,-5.0145073278902903e-17,0.9999999999999771,5.7407394692834e-16,9.150880262270443e-17
200.0,1.0,3.3889433575931764e-34,9.152664347982607e-191,1.0,0.0,0.0,1.0,1.3935583559557755e-18,-4.496403249731884e-17,0.9999999999999771,9.962392938928052e-16,1.5682326440565697e-16
210.0,1.0,2.0988709720359406e-33,8.932743314865231e-189,1.0,0.0,0.0,1.0,-7.188716937874101e-18,-4.274358644806853e-17,0.9999999999999765,1.6851534496552348e-15,2.626910888996647e-16
220.0,1.0,1.288379725592148e-32,8.892732601762801e-187,1.0,0.0,0.0,1.0,-1.8885822378988926e-17,-5.0145073278902903e-17,0.9999999999999761,2.7080695725190872e-15,4.1929632744718907e-16
230.0,1.0,7.8624448909221e-32,9.015157769642458e-185,1.0,0.0,0.0,1.0,-1.483707880487965e-17,-6.050715484207104e-17,0.9999999999999738,4.107162913474521e-15,6.328568054077226e-16
240.0,1.0,4.764089521565457e-31,9.292932176699677e-183,1.0,0.0,0.0,1.0,-2.7217997202458235e-18,-7.197945942986431e-17,0.9999999999999712,5.928653366608716e-15,9.102857897020001e-16
250.0,1.0,2.8608198798555422e-30,9.726128877923961e-181,1.0,0.0,0.0,1.0,-3.630466276146892e-17,-6.087722918361275e-17,0.9999999999999685,8.268085195742218e-15,1.2663155068771104e-15
260.0,1.0,1.700119341906662e-29,1.0320686744966062e-178,1.0,0.0,0.0,1.0000000000000002,-2.0685141406553927e-16,-7.419990547911463e-17,0.9999999999999649,1.128345614718309e-14,1.7252219958637858e-15
270.0,1.0,9.98800847938753e-29,1.1087670027192473e-176,1.0,0.0,0.0,1.0000000000000002,-3.0865910370036653e-16,-7.271960811294776e-17,0.9999999999999608,1.5139176978531945e-14,2.3113951159196988e-15
280.0,1.0,5.795094881739631e-28,1.2042739175254425e-174,1.0,0.0,0.0,0.9999999999999998,2.389900680691924e-16,-6.957397620984315e-17,0.999999999999955,1.9899306526656138e-14,3.0321698822511492e-15
290.0,1.0,3.317430157526761e-27,1.3205705765578048e-172,1.0,0.0,0.0,0.9999999999999983,1.780648246532028e-15,-7.105427357601002e-17,0.9999999999999486,2.54491625230742e-14,3.865614209449445e-15
300.0,1.0,1.8719152521820548e-26,1.4600067126330137e-170,1.0,0.0,0.0,0.9999999999999973,2.5651347830774527e-15,-6.587323279442596e-17,0.9999999999999418,3.153712102407604e-14,4.7660589803934974e-15
310.0,1.0,1.0401781365345671e-25,1.6252414360766755e-168,1.0,0.0,0.0,1.0000000000000024,-2.523698818965015e-15,-6.9759013380614e-17,0.9999999999999349,3.7980947707491354e-14,5.688114697086071e-15
320.0,1.0,5.686853885016627e-25,1.8191603290459257e-166,1.0,0.0,0.0,1.0000000000000175,-1.7376534523931314e-14,-6.513308411134252e-17,0.999999999999927,4.50452759556229e-14,6.6136839159736365e-15
330.0,1.0,3.056300467080113e-24,2.0447575967215987e-164,1.0,0.0,0.0,1.0000000000000298,-2.972070500312237e-14,-6.661338147750939e-17,0.9999999999999164,5.412757827203998e-14,7.559890052538579e-15
340.0,1.0,1.6132691955481982e-23,2.304972333057778e-162,1.0,0.0,0.0,0.9999999999999957,4.449276933408836e-15,-7.919590908992784e-17,0.9999999999999002,6.944879262308003e-14,8.557032464386344e-15
350.0,1.0,8.356827963780666e-23,2.602469168084424e-160,1.0,0.0,0.0,0.9999999999998589,1.4105555582477564e-13,-6.920390186830142e-17,0.9999999999998661,1.0292029262120608e-13,9.608561171119032e-15
