R,E1,E2,E3,V11,V22,V33,V12,V13,V23,nac12,nac13,nac23,abs_nac12,abs_nac13,abs_nac23
1.8,0.0598127596313634,0.4576274460006274,0.6362949509762731,0.0598127596313634,0.4576274460006274,0.6362949509762731,1.32301889534383e-38,1.1095625500652142e-142,0.0,-3.405533770501728e-36,1.9339512426299547e-140,6.468118410787861e-105,3.405533770501728e-36,1.9339512426299547e-140,6.468118410787861e-105
1.8032016008004002,0.05963881571290974,0.4553298671431261,0.6335568188577654,0.05963881571290974,0.4553298671431261,0.6335568188577654,1.8357113834061134e-38,2.1237398210217643e-142,0.0,-4.7410903840383766e-36,3.718185804364927e-140,8.919653990033503e-105,4.7410903840383766e-36,3.718185804364927e-140,8.919653990033503e-105
1.8064032016008005,0.05946547449787705,0.4530428288233605,0.6308304561445659,0.05946547449787705,0.4530428288233605,0.6308304561445659,2.545410616550002e-38,4.062243258183697e-142,0.0,-6.596083909101512e-36,7.143843527230686e-140,1.2300368672219295e-104,6.596083909101512e-36,7.143843527230686e-140,1.2300368672219295e-104
1.8096048024012006,0.05929273424265073,0.45076628518782996,0.6281158131284368,0.05929273424265073,0.45076628518782996,0.6281158131284368,3.5271700426079196e-38,7.765074713854973e-142,0.0,-9.170837573403944e-36,1.3716649977994488e-139,1.6962440003608705e-104,9.170837573403944e-36,1.3716649977994488e-139,1.6962440003608705e-104
1.812806403201601,0.059120593208334835,0.4485001905777961,0.6254128403093169,0.059120593208334835,0.4485001905777961,0.6254128403093169,4.884386691386607e-38,1.4833391077068065e-141,0.0,-1.2742267682402876e-35,2.631961046710247e-139,2.339152820168606e-104,1.2742267682402876e-35,2.631961046710247e-139,2.339152820168606e-104
1.816008004002001,0.058949049660739467,0.446244499528464,0.6227214883944503,0.058949049660739467,0.446244499528464,0.6227214883944503,6.759409802240701e-38,2.8317202789337546e-141,0.0,-1.7692912885934852e-35,5.046916700403968e-139,3.225736900134183e-104,1.7692912885934852e-35,5.046916700403968e-139,3.225736900134183e-104
1.8192096048024013,0.05877810187036854,0.44399916676816553,0.620041708297521,0.05877810187036854,0.44399916676816553,0.620041708297521,9.34808410416354e-38,5.402258368820807e-141,0.0,-2.455086770589832e-35,9.671372144624675e-139,4.448354233823644e-104,2.455086770589832e-35,9.671372144624675e-139,4.448354233823644e-104
1.8224112056028015,0.05860774811240753,0.4417641472175529,0.6173734511377971,0.05860774811240753,0.4417641472175529,0.6173734511377971,1.2919673570347517e-37,1.0299483516389421e-140,0.0,-3.404467907008461e-35,1.8521038390929745e-138,6.134368496354899e-104,3.404467907008461e-35,1.8521038390929745e-138,6.134368496354899e-104
1.8256128064032016,0.05843798666671092,0.43953939598878644,0.6147166682392674,0.05843798666671092,0.43953939598878644,0.6147166682392674,1.7844137727454072e-37,1.9623236532901008e-140,0.0,-4.717876131727664e-35,3.544523405520286e-138,8.45941698698993e-104,4.717876131727664e-35,3.544523405520286e-138,8.45941698698993e-104
1.8288144072036019,0.05826881581779017,0.43732486838473345,0.6120713111297907,0.05826881581779017,0.43732486838473345,0.6120713111297907,2.462944855875488e-37,3.7362930025022204e-140,0.0,-6.533692856786388e-35,6.779000168280531e-138,1.1665707432668516e-103,6.533692856786388e-35,6.779000168280531e-138,1.1665707432668516e-103
