name,ndvr,xbound,dt,dx,nt,wall_time_sec,final_pop1,max_pop1,t_at_max_pop1,num_negative_steps,most_negative_step,last_100au_delta_pop1,last_200au_delta_pop1,trace_min,trace_max,mean_x_final,mean_p_final
coarse320_dt2,320,18.0,2.0,0.1125,601,24.57213350001257,0.49332949627512857,0.5606937672414078,500.0,161,-0.001174845502317945,1.56808348139581e-07,2.0967518888914682e-06,0.9999999999999956,0.9999999999999963,7.620924994436466,18.964897135077045
base384_dt2,384,18.0,2.0,0.09375,601,37.09878980007488,0.4927850327276107,0.5602092274496216,500.0,161,-0.0011746981244904475,1.3952228006264278e-07,2.060068070852683e-06,0.9999999999999934,0.9999999999999951,7.611283140794335,18.967877917551334
fine448_dt2,448,18.0,2.0,0.08035714285714286,601,50.6418841999257,0.49236264800658774,0.5598250196284446,500.0,161,-0.0011747221593233492,1.4255752212033457e-07,2.0987529005256356e-06,1.000000000000015,1.0000000000000164,7.6027759601061655,18.967965818139447
wide384_dt2,384,22.0,2.0,0.11458333333333333,601,36.66731990000699,0.49266375382496935,0.560065660704473,500.0,161,-0.0011741058637531054,1.8834525172817251e-07,2.270647968483086e-06,1.0000000000000027,1.0000000000000036,7.604931135141912,18.956276598879715
base384_dt1,384,18.0,1.0,0.09375,1201,73.36819359997753,0.4927850327276107,0.5602092274496216,500.0,322,-0.0005874697629874026,1.3952228006264278e-07,2.060068070852683e-06,0.9999999999999934,0.9999999999999951,7.611283140794335,18.967877917551334
