method,final_pop0,final_pop1,rms_upper_vs_dvr,max_abs_upper_vs_dvr
pmatrix,0.4392878200802621,0.5607121799197379,0.1257839199709928,0.24491718666813422
fssh,0.40625,0.59375,0.10755166255212283,0.27907768859059456
ehrenfest,0.22642230038439703,0.7735776996156107,0.04387820268432789,0.14403806347409742
dvr,0.26913170927437857,0.7308682907256108,0.0,0.0
