p0,dt,steps,final_q,final_p,branch,final_pop_lower,final_pop_upper,final_mean_energy
8.0,0.2,28027,12.000614747053573,7.873899403828138,transmitted,0.8626578468535909,0.13734215314640907,0.008246416051568298
12.0,0.2,18481,12.000980972658624,11.878049350623469,transmitted,0.7369356590321297,0.2630643409678706,0.030533300935022305
16.0,0.2,13784,12.001578751979654,15.947553252756602,transmitted,0.6005637374028738,0.39943626259712645,0.06156983894852225
20.0,0.2,10998,12.001159206277565,20.01386022194511,transmitted,0.4775924478911806,0.5224075521088194,0.10058680128601362
24.0,0.2,9155,12.000846795244595,24.0586678831993,transmitted,0.37935446909495507,0.6206455309050447,0.1471177856855688
28.0,0.2,7845,12.00263111998756,28.085051757670946,transmitted,0.30425549237126903,0.695744507628731,0.20110742319245573
32.0,0.2,6864,12.002277054458474,32.09913900317749,transmitted,0.24733868748327675,0.7526613125167232,0.2626419074135663
