T_lower_exact,T_upper_exact,R_lower_exact,R_upper_exact,center_residual,norm,p0,time,T_total_exact,R_total_exact,adiabatic_upper_exact
0.9389216409852447,0.004773103658009352,0.008438556334251824,0.00023028389523753375,0.04763641512725762,1.0000000000000009,8.0,7500.0,0.943694744643254,0.008668840229489357,0.005003387553246886
0.8447715745882269,0.15391657778554874,5.490433026792697e-05,1.886087091489654e-05,0.0012380824250423218,1.0000000000000007,10.0,6000.0,0.9986881523737756,7.376520118282352e-05,0.15393543865646364
0.7813339551949489,0.2186642067861042,8.719756315809511e-07,9.660268247589583e-07,1.6491028583593262e-11,1.0000000000000004,12.0,5000.0,0.9999981619810531,1.8380024563399093e-06,0.21866517281292897
0.712792817259109,0.2872068139891938,2.3485464584547282e-07,1.3389705254546513e-07,2.4577934888740536e-26,1.000000000000001,14.0,4285.714285714285,0.9999996312483028,3.68751698390938e-07,0.28720694788624634
0.6410667414537007,0.3589331388768888,8.965436982595959e-08,3.0015041794589886e-08,2.1972487425564176e-28,1.000000000000001,16.0,3750.0,0.9999998803305895,1.1966941162054949e-07,0.3589331688919306
0.5713296488648394,0.4286702941632693,4.698454733506139e-08,9.987342335202522e-09,2.2944476681950506e-28,0.9999999999999983,18.0,3333.3333333333335,0.9999999430281087,5.697188967026391e-08,0.42867030415061164
0.507007925552123,0.49299203562125277,3.396872111237989e-08,4.857902795725576e-09,7.090596302163512e-28,0.9999999999999997,20.0,3000.0,0.9999999611733759,3.882662390810547e-08,0.49299204047915557
0.44955043295516783,0.5504495297668601,3.3858666005888545e-08,3.4193076575466975e-09,2.3092878224599407e-28,1.0000000000000016,22.0,2727.2727272727275,0.999999962722028,3.727797366343524e-08,0.5504495331861677
0.3991453872852743,0.600854563706395,4.5614971920045516e-08,3.393358080099889e-09,3.5067299538276195e-28,0.9999999999999992,24.0,2500.0,0.9999999509916693,4.90083300001454e-08,0.600854567099753
0.3553399727199983,0.6446599417126306,8.095656528883981e-08,4.610804729400244e-09,1.6375374709232766e-28,0.999999999999999,26.0,2307.6923076923076,0.9999999144326289,8.556737001824005e-08,0.6446599463234354
0.31742175895174257,0.682578044513653,1.879998561710067e-07,8.534747424139227e-09,4.852799626045653e-28,0.9999999999999992,28.0,2142.8571428571427,0.9999998034653956,1.9653460359514594e-07,0.6825780530484005
0.2846216612136679,0.7153777235982277,5.925488038125606e-07,2.2639300344534825e-08,4.791208915059457e-28,0.9999999999999997,30.0,2000.0,0.9999993848118955,6.151881041570954e-07,0.715377746237528
0.25621015863867064,0.743786887238353,2.852508278088889e-06,1.0161469714623205e-07,2.4970373294260834e-28,0.9999999999999988,32.0,1875.0,0.9999970458770235,2.954122975235121e-06,0.7437869888530501
