p0,ntraj,T_lower,T_upper,R_lower,R_upper,inside,mean_hops,mean_frustrated_hops,mean_final_pop_upper,mean_steps,T_total,R_total
10.0,50,0.86,0.14,0.0,0.0,0.0,0.62,0.0,0.16639005127317802,9655.4,1.0,0.0
14.0,50,0.68,0.32,0.0,0.0,0.0,0.76,0.0,0.294467507086759,6646.7,1.0,0.0
18.0,50,0.54,0.46,0.0,0.0,0.0,0.7,0.0,0.4360205494440811,5086.74,1.0,0.0
20.0,50,0.56,0.44,0.0,0.0,0.0,0.72,0.0,0.5000818666151197,4533.32,1.0,0.0
22.0,50,0.42,0.58,0.0,0.0,0.0,0.82,0.0,0.5544555555616087,4125.08,1.0,0.0
26.0,50,0.34,0.66,0.0,0.0,0.0,0.86,0.0,0.6470018731142815,3466.38,1.0,0.0
30.0,50,0.24,0.76,0.0,0.0,0.0,0.76,0.0,0.7168018116189424,2992.54,1.0,0.0
