method,n_completed,final_pop1,dvr_final_pop1,final_abs_error_pop1,rms_error_pop1_vs_dvr,max_abs_error_pop1_vs_dvr,pop_sum_min,pop_sum_max,wall_time_sec
EH,1024,0.5206236071527265,0.4927850327276107,0.02783857442511578,0.020349468298934845,0.02788169518010558,0.9999999999999984,1.0000000000000038,271.72167120000813
CMD_EH,1024,0.5105003165540093,0.4927850327276107,0.017715283826398587,0.012802403135642248,0.01776205743288911,0.9999999999999984,1.0000000000000036,408.59910679992754
FSSH,1024,0.50390625,0.4927850327276107,0.011121217272389294,0.010785474174723066,0.027415726090964543,1.0,1.0,0.0
CMD_FSSH,1024,0.4892578125,0.4927850327276107,0.0035272202276107056,0.002851536585920586,0.009904261833195871,1.0,1.0,0.0
