temperature_K,method,seed,corr0,energy_drift_rms,acceptance_mean,acceptance_min,nbeads,global_peak_cm,global_intensity,stretch_peak_cm,stretch_intensity,paper_peak_cm,paper_intensity,soft_area_1500_3000,stretch_area_3000_4000,soft_to_stretch_area,soft_fraction_total,r_mode,r_mean,prob_r_lt_0p4,prob_r_lt_0p8,prob_r_lt_1p2
200.0,exact_dvr,,3.6378139186861e-07,,,,,3565.762287437703,1.8869769866775257e-09,3565.762287437703,1.8869769866775257e-09,3565.762287437703,1.8869769866775257e-09,7.291764270075445e-21,3.551194715781931e-07,2.0533270782562214e-14,2.0533270700001382e-14,,,,,
200.0,cmd_ca,20260617,4.6579983330633574e-07,0.00010772671843017996,0.2859572649572649,0.2653333333333333,32,2524.344564708378,0.00017334752994691336,2524.344564708378,0.00017334752994691336,3003.3370411568408,0.00011281097283721444,0.1617370501469602,0.04180220756377541,3.869103082659129,0.6901100754544522,0.09999999999999999,0.14278294935317198,0.9999697142654533,1.0,1.0
200.0,cmd_ca,20260618,3.447448143341008e-07,9.805585984406118e-05,0.28452991452991455,0.25866666666666666,32,3899.1621026542925,0.00013292160899495663,3899.1621026542925,0.00013292160899495663,3899.1621026542925,0.00013292160899495663,0.0027147166851163923,0.09100305502203639,0.02983105000660718,0.017001236891770584,0.09999999999999999,0.10820374750400837,0.9999990374325254,0.9999999999999999,0.9999999999999999
200.0,cmd_ca,20260619,3.8304511786524394e-07,0.0001613470725037527,0.2861452991452992,0.264,32,2417.229245090995,0.0001797196320606863,2502.7808676307004,0.00017695674827317642,3003.3370411568408,7.913827315585656e-05,0.18029400152546868,0.01354303805986024,13.312670371933464,0.8391818968673377,0.09999999999999999,0.15404677863072028,0.9999246295596641,0.9999999999999999,1.0000000000000002
200.0,classical_eh,,4.268328721538722e-07,1.1308748987683276e-08,,,,3682.1928574778267,0.00034456701618406613,3682.1928574778267,0.00034456701618406613,3682.1928574778267,0.00034456701618406613,0.015810357146883884,0.2614270316848327,0.06047713216567557,0.04527795457979547,,,,,
200.0,rpmd,,4.150456857209849e-07,1.0562365912291633e-06,0.6833000665335994,,16,3611.6294350845264,0.00029866827428032337,3611.6294350845264,0.00029866827428032337,3611.6294350845264,0.00029866827428032337,0.019033513690707285,0.2400799917737465,0.07927988313430398,0.061736336950981234,,,,,
200.0,trpmd,,2.909349270911873e-07,0.07440530066330794,0.6833000665335994,,16,3620.3766003509677,0.00019621247772576804,3620.3766003509677,0.00019621247772576804,3620.3766003509677,0.00019621247772576804,0.012569752944079759,0.15778910224087372,0.07966173053504887,0.061043167328813215,,,,,
400.0,exact_dvr,,7.275627837372208e-07,,,,,3563.3844099643866,3.762187207437086e-09,3563.3844099643866,3.762187207437086e-09,3563.3844099643866,3.762187207437086e-09,4.045324447019351e-19,7.102229590507772e-07,5.695851416048254e-13,5.695851395809663e-13,,,,,
400.0,cmd_ca,20260617,5.907902320207092e-07,0.00017183886214974285,0.28278632478632476,0.254,16,3443.3166840246404,0.0004485090755514959,3443.3166840246404,0.0004485090755514959,3443.3166840246404,0.0004485090755514959,0.05698685438367786,0.3614976343623105,0.15764101605866349,0.1257692903409871,1.9,1.8536948908595203,1.4259823325184191e-12,1.4273537800953138e-12,1.4273537800974936e-12
400.0,cmd_ca,20260618,6.932498279476716e-07,7.5993699981674e-05,0.2798632478632479,0.24933333333333332,16,3391.990773469041,0.0005423003003482444,3391.990773469041,0.0005423003003482444,3391.990773469041,0.0005423003003482444,0.08608112776428245,0.4313539884084441,0.19956029172674122,0.15567526815554525,1.9,1.856469315747089,5.488478330942499e-07,5.503440543356012e-07,5.503440543553973e-07
400.0,cmd_ca,20260619,8.458721370122098e-07,0.000147723638967263,0.2849145299145299,0.255,16,3346.7010253949175,0.0006565457775943442,3346.7010253949175,0.0006565457775943442,3346.7010253949175,0.0006565457775943442,0.15766356806302514,0.5080963630709634,0.3103024928383615,0.21216810440893105,1.7999999999999998,1.8510009008136135,5.574332855122583e-14,5.582644751942428e-14,5.582644751946761e-14
400.0,classical_eh,,7.851061633354287e-07,2.207237086282751e-08,,,,3702.9719738457775,0.0006276701855156547,3702.9719738457775,0.0006276701855156547,3702.9719738457775,0.0006276701855156547,0.017990230224156526,0.4666490335837896,0.038551950029756726,0.028978475025166952,,,,,
400.0,rpmd,,6.485811360775429e-07,6.306688320820995e-07,0.6986027944111777,,8,3586.6782897635426,0.0004996566694371046,3586.6782897635426,0.0004996566694371046,3586.6782897635426,0.0004996566694371046,0.03708657053778021,0.4045828850111107,0.09166618735432105,0.07108295035369613,,,,,
400.0,trpmd,,5.766287408715917e-07,0.06076987548503704,0.6899534264803726,,8,3514.8569909586327,0.0004178339446591196,3514.8569909586327,0.0004178339446591196,3514.8569909586327,0.0004178339446591196,0.06385302430130341,0.3437312110186912,0.18576440618257167,0.13562112350656755,,,,,
800.0,exact_dvr,,1.4551255674744413e-06,,,,,3558.892131655709,7.415655998365379e-09,3558.892131655709,7.415655998365379e-09,3558.892131655709,7.415655998365379e-09,5.40917146752564e-14,1.420262896354934e-06,3.8085705691588025e-08,3.8085703836346133e-08,,,,,
800.0,cmd_ca,20260617,1.5095989934406705e-06,0.00024059814717820416,0.1937094017094017,0.177,16,3578.0324377375837,0.001139523686904105,3578.0324377375837,0.001139523686904105,3578.0324377375837,0.001139523686904105,0.05820509685288788,0.909885273395773,0.06396970975874933,0.05256509881033157,1.9,1.8611576957709595,9.429491320413764e-21,9.432934837550902e-21,9.43293483755124e-21
800.0,cmd_ca,20260618,1.2908254317491545e-06,0.0002696873526874311,0.1951794871794872,0.17833333333333334,16,3548.4997071888993,0.0009207265377641448,3548.4997071888993,0.0009207265377641448,3548.4997071888993,0.0009207265377641448,0.09502200529232074,0.7524351155838439,0.12628597911540776,0.09605043934083711,1.7999999999999998,1.8573199120133514,2.632188318236226e-19,2.6323043668239863e-19,2.632304366824055e-19
800.0,cmd_ca,20260619,1.1976911798459863e-06,0.0002315338024771787,0.19869230769230767,0.17833333333333334,16,3563.3219421297454,0.0009258537376273621,3563.3219421297454,0.0009258537376273621,3563.3219421297454,0.0009258537376273621,0.05388703922521074,0.7410532951289758,0.07271682020634161,0.06003455840753846,1.9,1.858234335367506,3.6781112452256326e-19,3.6803177881596753e-19,3.6803177881599305e-19
800.0,classical_eh,,1.3247771458803188e-06,3.9400190800322227e-08,,,,3677.8153165077233,0.0010632708748538572,3677.8153165077233,0.0010632708748538572,3677.8153165077233,0.0010632708748538572,0.03586140792162214,0.806683111538129,0.04445538453537724,0.03411530960991223,,,,,
800.0,rpmd,,1.6277760883066805e-06,2.9966929732476727e-06,0.6467065868263473,,8,3607.65971995637,0.0012882848100113176,3607.65971995637,0.0012882848100113176,3607.65971995637,0.0012882848100113176,0.06891170923755835,1.0216144046349782,0.06745373687460919,0.0537037573430799,,,,,
800.0,trpmd,,1.402066267384899e-06,0.09661407260805477,0.6400532268795742,,8,3656.8543306214233,0.0009942980378620026,3656.8543306214233,0.0009942980378620026,3656.8543306214233,0.0009942980378620026,0.015458893398589338,0.7628216817863078,0.020265409030311092,0.016107336525735493,,,,,
