time,rpmd_correlation,exact_kubo,error
1.7625000000,0.0222634893,0.0225038884,-0.0002403990
1.7812500000,0.0205798283,0.0208159509,-0.0002361226
1.8000000000,0.0187804600,0.0190109786,-0.0002305185
1.8187500000,0.0168755012,0.0170991196,-0.0002236184
1.8375000000,0.0148756621,0.0150911232,-0.0002154611
1.8562500000,0.0127921866,0.0129982790,-0.0002060923
1.8750000000,0.0106367889,0.0108323537,-0.0001955648
1.8937500000,0.0084215872,0.0086055250,-0.0001839378
1.9125000000,0.0061590363,0.0063303129,-0.0001712766
1.9312500000,0.0038618570,0.0040195095,-0.0001576524
1.9500000000,0.0015429650,0.0016861069,-0.0001431419
1.9687500000,-0.0007846021,-0.0006567756,-0.0001278265
1.9875000000,-0.0031077579,-0.0029959654,-0.0001117925
2.0062500000,-0.0054134408,-0.0053183109,-0.0000951299
2.0250000000,-0.0076886873,-0.0076107548,-0.0000779325
2.0437500000,-0.0099207053,-0.0098604083,-0.0000602969
2.0625000000,-0.0120969454,-0.0120546230,-0.0000423223
2.0812500000,-0.0142051721,-0.0141810623,-0.0000241098
2.1000000000,-0.0162335321,-0.0162277704,-0.0000057617
2.1187500000,-0.0181706213,-0.0181832402,0.0000126188
2.1375000000,-0.0200055487,-0.0200364771,0.0000309284
2.1562500000,-0.0217279976,-0.0217770617,0.0000490640
2.1750000000,-0.0233282838,-0.0233952077,0.0000669239
2.1937500000,-0.0247974099,-0.0248818173,0.0000844074
2.2125000000,-0.0261271160,-0.0262285323,0.0001014164
2.2312500000,-0.0273099259,-0.0274277810,0.0001178551
2.2500000000,-0.0283391894,-0.0284728207,0.0001336313
2.2687500000,-0.0292091197,-0.0293577758,0.0001486561
2.2875000000,-0.0299148258,-0.0300776709,0.0001628451
2.3062500000,-0.0304523398,-0.0306284583,0.0001761186
2.3250000000,-0.0308186396,-0.0310070414,0.0001884018
2.3437500000,-0.0310116659,-0.0312112917,0.0001996258
2.3625000000,-0.0310303333,-0.0312400607,0.0002097274
2.3812500000,-0.0308745368,-0.0310931867,0.0002186498
2.4000000000,-0.0305451525,-0.0307714955,0.0002263430
2.4187500000,-0.0300440323,-0.0302767958,0.0002327635
2.4375000000,-0.0293739935,-0.0296118689,0.0002378754
2.4562500000,-0.0285388035,-0.0287804533,0.0002416498
2.4750000000,-0.0275431579,-0.0277872235,0.0002440656
2.4937500000,-0.0263926547,-0.0266377639,0.0002451091
2.5125000000,-0.0250937624,-0.0253385370,0.0002447746
2.5312500000,-0.0236537838,-0.0238968477,0.0002430639
2.5500000000,-0.0220808151,-0.0223208016,0.0002399865
2.5687500000,-0.0203836999,-0.0206192599,0.0002355599
2.5875000000,-0.0185719802,-0.0188017891,0.0002298089
2.6062500000,-0.0166558421,-0.0168786079,0.0002227658
2.6250000000,-0.0146460588,-0.0148605290,0.0002144702
2.6437500000,-0.0125539300,-0.0127588988,0.0002049688
2.6625000000,-0.0103912184,-0.0105855334,0.0001943150
2.6812500000,-0.0081700836,-0.0083526523,0.0001825687
2.7000000000,-0.0059030137,-0.0060728096,0.0001697959
2.7187500000,-0.0036027548,-0.0037588233,0.0001560685
2.7375000000,-0.0012822400,-0.0014237035,0.0001414636
2.7562500000,0.0010454841,0.0009194208,0.0001260633
2.7750000000,0.0033673301,0.0032573758,0.0001099543
2.7937500000,0.0056702437,0.0055770167,0.0000932270
2.8125000000,0.0079412772,0.0078653016,0.0000759756
2.8312500000,0.0101676619,0.0101093648,0.0000582970
2.8500000000,0.0123368803,0.0122965896,0.0000402907
2.8687500000,0.0144367363,0.0144146784,0.0000220578
2.8875000000,0.0164554236,0.0164517227,0.0000037010
2.9062500000,0.0183815927,0.0183962694,-0.0000146767
2.9250000000,0.0202044137,0.0202373856,-0.0000329719
2.9437500000,0.0219136381,0.0219647198,-0.0000510817
2.9625000000,0.0234996561,0.0235685604,-0.0000689043
2.9812500000,0.0249535505,0.0250398900,-0.0000863395
3.0000000000,0.0262671470,0.0263704362,-0.0001032892
3.0187500000,0.0274330600,0.0275527182,-0.0001196582
3.0375000000,0.0284447343,0.0285800888,-0.0001353545
3.0562500000,0.0292964821,0.0294467718,-0.0001502898
3.0750000000,0.0299835143,0.0301478943,-0.0001643800
3.0937500000,0.0305019683,0.0306795144,-0.0001775461
3.1125000000,0.0308489291,0.0310386431,-0.0001897139
3.1312500000,0.0310224461,0.0312232612,-0.0002008151
3.1500000000,0.0310215435,0.0312323308,-0.0002107873
3.1687500000,0.0308462266,0.0310658009,-0.0002195743
3.1875000000,0.0304974810,0.0307246077,-0.0002271268
3.2062500000,0.0299772674,0.0302106696,-0.0002334023
3.2250000000,0.0292885107,0.0295268762,-0.0002383655
3.2437500000,0.0284350834,0.0286770719,-0.0002419885
3.2625000000,0.0274217837,0.0276660347,-0.0002442510
3.2812500000,0.0262543087,0.0264994489,-0.0002451403
3.3000000000,0.0249392224,0.0251838737,-0.0002446512
3.3187500000,0.0234839188,0.0237267055,-0.0002427867
3.3375000000,0.0218965801,0.0221361372,-0.0002395571
3.3562500000,0.0201861308,0.0204211114,-0.0002349806
3.3750000000,0.0183621877,0.0185912707,-0.0002290830
3.3937500000,0.0164350058,0.0166569032,-0.0002218974
3.4125000000,0.0144154202,0.0146288844,-0.0002134642
3.4312500000,0.0123147859,0.0125186168,-0.0002038309
3.4500000000,0.0101449134,0.0103379649,-0.0001930515
3.4687500000,0.0079180026,0.0080991893,-0.0001811867
3.4875000000,0.0056465738,0.0058148770,-0.0001683032
3.5062500000,0.0033433979,0.0034978714,-0.0001544735
3.5250000000,0.0010214243,0.0011611995,-0.0001397753
3.5437500000,-0.0013062922,-0.0011820011,-0.0001242911
3.5625000000,-0.0036266642,-0.0035185560,-0.0001081082
3.5812500000,-0.0059266459,-0.0058353284,-0.0000913175
3.6000000000,-0.0081933057,-0.0081192924,-0.0000740133
3.6187500000,-0.0104138998,-0.0103576068,-0.0000562930
3.6375000000,-0.0125759432,-0.0125376869,-0.0000382562
3.6562500000,-0.0146672800,-0.0146472757,-0.0000200043
3.6750000000,-0.0166761521,-0.0166745121,-0.0000016400
3.6937500000,-0.0185912647,-0.0186079983,0.0000167336
3.7125000000,-0.0204018505,-0.0204368636,0.0000350131
3.7312500000,-0.0220977297,-0.0221508255,0.0000530957
3.7500000000,-0.0236693674,-0.0237402473,0.0000708798
3.7687500000,-0.0251079274,-0.0251961928,0.0000882654
3.7875000000,-0.0264053214,-0.0265104762,0.0001051548
3.8062500000,-0.0275542551,-0.0276757080,0.0001214529
3.8250000000,-0.0285482687,-0.0286853369,0.0001370682
3.8437500000,-0.0293817736,-0.0295336864,0.0001519128
3.8625000000,-0.0300500835,-0.0302159868,0.0001659033
3.8812500000,-0.0305494409,-0.0307284019,0.0001789611
3.9000000000,-0.0308770382,-0.0310680508,0.0001910126
3.9187500000,-0.0310310335,-0.0312330238,0.0002019902
3.9375000000,-0.0310105611,-0.0312223933,0.0002118322
3.9562500000,-0.0308157361,-0.0310362192,0.0002204832
3.9750000000,-0.0304476537,-0.0306755482,0.0002278945
3.9937500000,-0.0299083836,-0.0301424081,0.0002340245
4.0125000000,-0.0292009577,-0.0294397965,0.0002388388
4.0312500000,-0.0283293534,-0.0285716635,0.0002423102
4.0500000000,-0.0272984711,-0.0275428903,0.0002444192
4.0687500000,-0.0261141069,-0.0263592610,0.0002451540
