T_K,beads,dt_au,seed,time_fs,kappa
200.0,32,4.0,0,0.0,1.0
200.0,32,4.0,0,2.031862812,0.9990234375
200.0,32,4.0,0,4.063725624,0.9951171875
200.0,32,4.0,0,6.095588436000001,0.994140625
200.0,32,4.0,0,8.127451248,0.994140625
200.0,32,4.0,0,10.15931406,0.9892578125
200.0,32,4.0,0,12.191176872000002,0.98828125
200.0,32,4.0,0,14.223039684000002,0.9873046875
200.0,32,4.0,0,16.254902496,0.9892578125
200.0,32,4.0,0,18.286765308,0.9892578125
200.0,32,4.0,0,20.31862812,0.9892578125
200.0,32,4.0,0,22.350490932000003,0.9892578125
200.0,32,4.0,0,24.382353744000003,0.9892578125
200.0,32,4.0,0,26.414216556000003,0.98828125
200.0,32,4.0,0,28.446079368000003,0.98828125
200.0,32,4.0,0,30.477942180000003,0.98828125
200.0,32,4.0,0,32.509804992,0.98828125
200.0,32,4.0,0,34.541667804,0.98828125
200.0,32,4.0,0,36.573530616,0.98828125
200.0,32,4.0,0,38.605393428,0.98828125
200.0,32,4.0,0,40.63725624,0.98828125
200.0,32,4.0,0,42.669119052,0.98828125
200.0,32,4.0,0,44.700981864000006,0.98828125
200.0,32,4.0,0,46.732844676000006,0.98828125
200.0,32,4.0,0,48.764707488000006,0.98828125
200.0,32,4.0,0,50.796570300000006,0.98828125
200.0,32,4.0,0,52.828433112000006,0.98828125
200.0,32,4.0,0,54.860295924000006,0.98828125
200.0,32,4.0,0,56.892158736000006,0.98828125
200.0,32,4.0,0,58.924021548000006,0.98828125
200.0,32,4.0,0,60.955884360000006,0.98828125
200.0,32,4.0,0,62.987747172000006,0.98828125
200.0,32,4.0,0,65.019609984,0.98828125
200.0,32,4.0,0,67.051472796,0.98828125
200.0,32,4.0,0,69.083335608,0.98828125
200.0,32,4.0,0,71.11519842,0.98828125
200.0,32,4.0,0,73.147061232,0.98828125
200.0,32,4.0,0,75.178924044,0.98828125
200.0,32,4.0,0,77.210786856,0.98828125
