T_K,beads,dt_au,static_flux,static_flux_SE,kappa,kappa_SE,kappa_40_80,kappa_40_80_SE,RPMD_flux,RPMD_flux_SE,min_ESS,max_energy_drift_per_bead_Ha
200.0,32,4.0,2.1323094885954284e-10,1.6273409008397837e-12,0.989501953125,0.001563262753279504,0.989501953125,0.001563262753279504,2.1098656573288188e-10,1.3723441276189982e-12,8593.798410194526,9.284875405607407e-07
200.0,64,4.0,2.1391047814173568e-10,1.2775161029975244e-12,0.99072265625,0.0006303683831717801,0.990869140625,0.0006830122154413205,2.1192834466438176e-10,1.3992267734928075e-12,9367.397333571484,1.3722018171666295e-06
260.0,32,4.0,3.1405173424526385e-09,7.86925088969428e-12,0.996337890625,0.0010066175843793117,0.996337890625,0.0010066175843793117,3.1290184088861916e-09,8.706757987839657e-12,46431.088456037236,1.3617553254741122e-06
260.0,64,4.0,3.1456423840005533e-09,7.231750043106808e-12,0.99755859375,0.0006303683831717801,0.99752197265625,0.0006024471895069484,3.137950125801781e-09,5.4673824513764846e-12,47480.212355563955,1.8823564061215547e-06
300.0,32,4.0,1.2259896440967425e-08,1.7682893895646917e-11,0.998291015625,0.000244140625,0.998291015625,0.000244140625,1.2238935637078453e-08,1.576497351424849e-11,74870.91567606678,1.918956207339062e-06
300.0,64,4.0,1.2274504814593838e-08,1.871308100932571e-11,0.997802734375,0.00046749370495914946,0.997802734375,0.00046749370495914946,1.2247545348732036e-08,2.170382680044843e-11,75682.44040071458,2.3907902568925943e-06
200.0,64,2.0,2.1391047814173568e-10,1.2775161029975244e-12,0.99072265625,0.0006303683831717801,0.99085693359375,0.0006775727092957918,2.1192834466438176e-10,1.3992267734928075e-12,9367.397333571484,3.6164955247164343e-07
