temperature_K,tst_flux_au,dvr_flux_au,dvr_plateau_std_au,analytic_flux_au,tst_rate_s-1,dvr_rate_s-1,kappa_dvr,kappa_analytic
2.500000000000000000e+02,4.119156852956340614e-10,2.548584137301837488e-09,5.582952908095855977e-12,2.548856571999733582e-09,1.702916031558987871e+07,1.053619694543404579e+08,6.187150012198989302e+00,6.187811396816330856e+00
3.000000000000000000e+02,4.057438207995166578e-09,1.403000467305037664e-08,6.142012217996419344e-12,1.403009464705737458e-08,1.677400695847736895e+08,5.800196674578595161e+08,3.457848019818097640e+00,3.457870194895667382e+00
4.000000000000000000e+02,7.516550413274174950e-08,1.509854135365620079e-07,1.945935999481121759e-11,1.509849308397498495e-07,3.107445202432449341e+09,6.241944417786414146e+09,2.008706191472125813e+00,2.008699769685726277e+00
5.000000000000000000e+02,4.556436704691646087e-07,7.181310206579262044e-07,8.217178802219533393e-11,7.181274804532583445e-07,1.883693529571317291e+10,2.968852295489809418e+10,1.576080317144502585e+00,1.576072547466358609e+00
