system,frames_total,frames_used,dt_fs,framework,framework_msd_A2,framework_rms_disp_A,framework_disp_p95_A,B_rms_disp_A,X_rms_disp_A,framework_vdos_low_5THz_frac,framework_vdos_low_10THz_frac,framework_vdos_centroid_THz,framework_vdos_peak_THz,B_vdos_centroid_THz,X_vdos_centroid_THz,pca_pc1_frac,pca_pc1_per_atom_rms_A,pca_total_rms_A,pca_effective_modes,framework_msd_A2_vs_TiO2,framework_rms_disp_A_vs_TiO2,framework_vdos_low_5THz_frac_vs_TiO2,framework_vdos_centroid_THz_vs_TiO2,pca_pc1_frac_vs_TiO2,pca_pc1_per_atom_rms_A_vs_TiO2
MAPbI3,2000,1600,0.5,I+Pb,0.032009063149255675,0.17891076867884637,0.32753005394613816,0.09959313170576894,0.19842501582382874,0.9652498722143781,0.9965100796083137,2.284120996756531,1.2507817385866165,2.3623277851361952,2.272451660007752,0.7746960967050365,0.1575208058752577,0.17896670451534788,1.592994164244878,2.3567946999272427,1.535185558793217,19.577631853552536,0.17858297102220758,4.10692858431886,3.111139264080343
CsPbI3,2000,1600,0.5,I+Pb,0.10972639178664303,0.33124974231936094,0.6446735004063185,0.002853892550995578,0.38249070683433145,0.9927366653247884,0.9999844145554817,1.6754944813508137,1.2507817385866165,1.8327482875175192,1.6754868151740272,0.796141610020014,0.295655845461496,0.3313533064120333,1.5080357487336415,8.079042407428718,2.8423656357739615,20.135131348596097,0.13099778113148486,4.220618574514081,5.83939692511826
TiO2,2000,1600,0.5,O+Ti,0.01358160859333392,0.11654015871507092,0.18854248830218567,0.12980498933092524,0.10930574212913098,0.049303709428943264,0.2541785208787168,12.790250849127661,11.25703564727955,9.391027563411196,13.299443986967102,0.1886314993796078,0.05063122943222571,0.11657659459487786,13.232030562333248,1.0,1.0,1.0,1.0,1.0,1.0
