system,group,n_atoms,low_5THz_frac,centroid_THz,peak_THz
MAPbI3,Pb,4,0.8130350866096605,2.626642043263443,2.501563477173233
MAPbI3,I,12,0.8182606398298611,2.6011652135259795,1.2507817385866165
CsPbI3,Pb,4,0.8845271023839936,2.1308841757388657,1.2507817385866165
CsPbI3,I,12,0.8945815066706236,2.006546061383953,1.2507817385866165
CsPbI3,Cs,4,0.9283250249498056,1.808260152546904,1.2507817385866165
TiO2,Ti,16,0.20089882952469484,9.476039868571515,3.7523452157598496
TiO2,O,32,0.01556908196992575,13.303228496030853,12.507817385866163
