wavenumber_cm-1,n,k,alpha_cm-1,nalpha_cm-1
99.313743,1.9636847,0.46943122,585.85641,1150.4373
100.27798,1.9614459,0.47101298,593.53769,1164.1921
101.24221,1.9593657,0.47263679,601.3108,1178.1878
102.20644,1.9570482,0.47430539,609.1808,1192.1962
103.17068,1.9548448,0.47600117,617.12646,1206.3865
104.13491,1.9524218,0.47770283,625.12091,1220.4997
105.09914,1.9501318,0.47943512,633.19706,1234.8177
106.06338,1.9476181,0.48120332,641.36305,1249.1303
107.02761,1.9451874,0.48298731,649.59313,1263.5804
107.99185,1.9425498,0.48476011,657.85124,1277.9088
108.95608,1.9400185,0.48654768,666.17255,1292.3871
109.92031,1.9372817,0.48834506,674.55073,1306.7948
110.88455,1.934623,0.49014404,682.9747,1321.2986
111.84878,1.9317727,0.49192381,691.41526,1335.6571
112.81301,1.9290271,0.49371022,699.90836,1350.1422
113.77725,1.9260818,0.49550217,708.45269,1364.5378
114.74148,1.9232061,0.49728894,717.03296,1379.0022
115.70571,1.9201398,0.49904409,725.61055,1393.2737
116.66995,1.9171708,0.50079322,734.22186,1407.6287
117.63418,1.9140079,0.50252259,742.84634,1421.8138
118.59842,1.9109321,0.50423312,751.48466,1436.0361
119.56265,1.9076867,0.5059135,760.11912,1450.0691
120.52688,1.9045372,0.50758845,768.78609,1464.1817
121.49112,1.9012125,0.5092622,777.49183,1478.1771
122.45535,1.8979349,0.51092619,786.22308,1492.2002
123.41958,1.8944747,0.51253861,794.9147,1505.9458
124.38382,1.8910966,0.51412338,803.60217,1519.6893
125.34805,1.8875414,0.51566625,812.26203,1533.1782
126.31228,1.8840668,0.51716799,820.89401,1546.6192
127.27652,1.8804383,0.51862234,829.48659,1559.7984
128.24075,1.8769047,0.5200507,838.07253,1572.9823
129.20499,1.8732078,0.52144843,846.64335,1585.9389
130.16922,1.8695819,0.52281564,855.19812,1598.863
131.13345,1.8657945,0.52412641,863.69301,1611.4737
132.09769,1.8620936,0.52540004,872.15802,1624.0398
133.06192,1.8582466,0.52662784,880.57725,1636.3297
134.02615,1.8544589,0.52781057,888.95035,1648.5219
134.99039,1.8505458,0.52893567,897.25433,1660.4102
135.95462,1.8467103,0.53001964,905.51531,1672.2245
136.91885,1.8427395,0.53105736,913.72299,1683.7534
137.88309,1.8388386,0.53204578,921.8704,1695.1708
138.84732,1.8348078,0.53298396,929.95409,1706.287
139.81156,1.8308419,0.53386486,937.95988,1717.2562
140.77579,1.8267645,0.53468877,945.88622,1727.9113
141.74002,1.8227508,0.53545254,953.7254,1738.4037
142.70426,1.8186272,0.53616214,961.48593,1748.5845
143.66849,1.8145797,0.53681183,969.1555,1758.6099
144.63272,1.8104188,0.53740245,976.73347,1768.2967
145.59696,1.8063384,0.53793371,984.21713,1777.8292
146.56119,1.8021485,0.53840548,991.60411,1787.0178
147.52542,1.7980357,0.53881377,998.88484,1796.0306
148.48966,1.7938299,0.53915805,1006.056,1804.6934
149.45389,1.7896922,0.53943175,1013.103,1813.1425
150.41812,1.7854874,0.53964782,1020.0476,1821.2822
151.38236,1.7813516,0.53980416,1026.8839,1829.2413
152.34659,1.7771435,0.53990054,1033.6092,1836.8719
153.31083,1.7730051,0.53994328,1040.2335,1844.3393
154.27506,1.7687882,0.5399223,1046.7352,1851.453
155.23929,1.7646439,0.53983706,1053.1112,1858.3662
156.20353,1.7604309,0.53968769,1059.3591,1864.9286
157.16776,1.7562983,0.53947777,1065.4839,1871.3075
158.13199,1.752093,0.53920114,1071.471,1877.3168
159.09623,1.7479646,0.53885913,1077.3207,1883.1184
160.06046,1.743785,0.53845161,1083.0303,1888.572
161.02469,1.7396758,0.53797185,1088.5839,1893.783
161.98893,1.7355373,0.53742921,1093.9978,1898.6741
162.95316,1.7314705,0.5368287,1099.2801,1903.3711
163.9174,1.7273743,0.53617001,1104.428,1907.7606
164.88163,1.7233522,0.5354647,1109.4634,1911.9962
165.84586,1.719273,0.53469336,1114.344,1915.8616
166.8101,1.715282,0.53385967,1119.0753,1919.5297
167.77433,1.7112516,0.5329634,1123.6544,1922.8554
168.73856,1.7073019,0.532004,1128.0779,1925.9696
169.7028,1.7033261,0.53097892,1132.3382,1928.7411
170.66703,1.6994392,0.52989751,1136.4527,1931.3323
171.63126,1.6955291,0.52875984,1140.4197,1933.6149
172.5955,1.6917063,0.52757192,1144.2502,1935.7353
173.55973,1.6878545,0.52632022,1147.9128,1937.5098
174.52397,1.684093,0.5250147,1151.427,1939.1101
175.4882,1.6803249,0.52365541,1154.791,1940.424
176.45243,1.6766303,0.52225053,1158.0209,1941.5729
177.41667,1.6729268,0.52078235,1161.0757,1942.3946
178.3809,1.6693089,0.51926225,1163.9785,1943.0397
179.34513,1.6656905,0.51769036,1166.7278,1943.4074
180.30937,1.6621484,0.5160647,1169.3171,1943.5785
181.2736,1.6586273,0.51437825,1171.7286,1943.461
182.23783,1.6551962,0.5126527,1174.0096,1943.2162
183.20207,1.6517746,0.5108878,1176.1583,1942.7484
184.1663,1.6484486,0.5091024,1178.2167,1942.2297
185.13054,1.6450922,0.50726444,1180.1096,1941.3891
186.09477,1.6418409,0.5053817,1181.8532,1940.415
187.059,1.6385919,0.50345421,1183.446,1939.185
188.02324,1.635416,0.50148398,1184.8911,1937.7899
188.98747,1.6322701,0.49945456,1186.1479,1936.1138
189.9517,1.6292186,0.49739385,1187.2809,1934.34
190.91594,1.6261975,0.49530181,1188.2887,1932.3921
191.88017,1.6232631,0.49319404,1189.2079,1930.3973
192.8444,1.6203197,0.4910399,1189.9636,1928.1215
193.80864,1.617488,0.48885462,1190.5913,1925.7672
194.77287,1.6146709,0.48663822,1191.0899,1923.2182
195.7371,1.6119385,0.48440221,1191.4865,1920.603
196.70134,1.6092185,0.48211712,1191.7077,1917.718
197.66557,1.6066058,0.47980732,1191.812,1914.7721
198.62981,1.6040195,0.4774729,1191.799,1911.6688
199.59404,1.6015087,0.47512624,1191.6986,1908.5158
200.55827,1.599025,0.47273514,1191.4294,1905.1255
201.52251,1.5966455,0.47032616,1191.057,1901.6958
202.48674,1.5943044,0.46789953,1190.5813,1898.1491
203.45097,1.5920391,0.46547064,1190.041,1894.5918
204.41521,1.5897915,0.46300435,1189.3458,1890.8119
205.37944,1.5876508,0.46052387,1188.5542,1887.009
206.34367,1.5855392,0.45802933,1187.666,1883.091
207.30791,1.5835117,0.45553371,1186.7145,1879.1763
208.27214,1.5815048,0.45299879,1185.5997,1875.0317
209.23638,1.579623,0.45045999,1184.4133,1870.9265
210.20061,1.577764,0.44791687,1183.1539,1866.7377
211.16484,1.5759915,0.44538507,1181.863,1862.606
212.12908,1.5742472,0.44282472,1180.4346,1858.2959
213.09331,1.5726075,0.44026741,1178.9523,1854.0292
214.05754,1.5709987,0.43771297,1177.4157,1849.7185
215.02178,1.5694849,0.43518016,1175.8756,1845.5191
215.98601,1.5679698,0.43263286,1174.2349,1841.1649
216.95024,1.5665653,0.43008733,1172.5373,1836.8562
217.91448,1.565178,0.42754379,1170.7834,1832.4844
218.87871,1.5638802,0.42501897,1169.0193,1828.2062
219.84295,1.5625874,0.42247146,1167.1315,1823.7449
220.80718,1.5614096,0.41993123,1165.202,1819.3576
221.77141,1.5602626,0.41739821,1163.2311,1814.946
222.73565,1.559184,0.4148888,1161.2649,1810.6256
223.69988,1.5581354,0.4123517,1159.16,1806.1283
224.66411,1.5572057,0.40983501,1157.0513,1801.7669
225.62835,1.5563079,0.40733874,1154.9395,1797.4415
226.59258,1.5554881,0.40488076,1152.8762,1793.2853
227.55681,1.5546842,0.40242535,1150.7607,1789.0695
228.52105,1.5539758,0.39998999,1148.6433,1784.964
229.48528,1.553292,0.39757472,1146.5248,1780.8879
230.44952,1.5526812,0.39519677,1144.4559,1776.9751
