beta,Cv_no_GP_over_kB,Cv_GP_over_kB
1.473667334669338835e+01,6.833538387845811135e-02,8.644555208531625509e-05
1.477595190380761636e+01,6.736738968396399629e-02,8.355957616494177008e-05
1.481523046092184437e+01,6.641210562417579344e-02,8.076880665380962228e-05
1.485450901803607238e+01,6.546938619207375021e-02,7.807014721331893066e-05
1.489378757515030216e+01,6.453908705884733865e-02,7.546060046786718701e-05
1.493306613226453017e+01,6.362106507700508728e-02,7.293726491008404558e-05
1.497234468937875818e+01,6.271517828303127540e-02,7.049733190014573984e-05
1.501162324649298618e+01,6.182128589960445009e-02,6.813808275642060312e-05
1.505090180360721597e+01,6.093924833739144953e-02,6.585688593476688715e-05
1.509018036072144398e+01,6.006892719643040779e-02,6.365119429388320556e-05
1.512945891783567198e+01,5.921018526711578633e-02,6.151854244417912290e-05
1.516873747494989999e+01,5.836288653079894917e-02,5.945654417770991390e-05
1.520801603206412977e+01,5.752689616001667450e-02,5.746288997678231292e-05
1.524729458917835778e+01,5.670208051835952390e-02,5.553534459890971956e-05
1.528657314629258579e+01,5.588830715999246190e-02,5.367174473585653577e-05
1.532585170340681380e+01,5.508544482883968862e-02,5.186999674457887650e-05
1.536513026052104358e+01,5.429336345744442682e-02,5.012807444792702219e-05
1.540440881763527159e+01,5.351193416551572324e-02,4.844401700303820437e-05
1.544368737474949960e+01,5.274102925817217985e-02,4.681592683540401626e-05
