beta,E_no_GP,Cv_no_GP_over_kB,E_GP,Cv_GP_over_kB
2.285370741482966039e+00,2.174425795934515904e-01,5.203209689142019867e-01,2.201241381274640085e-01,4.796458226026628080e-01
2.324649298597194491e+00,2.135873578445896814e-01,5.226053572726810925e-01,2.165862870318782385e-01,4.773517651742140155e-01
2.363927855711422943e+00,2.098433953441623534e-01,5.250381082928656795e-01,2.131829374472353211e-01,4.749070331618562291e-01
2.403206412825651395e+00,2.062044864918387566e-01,5.276190842986951957e-01,2.099082608349364110e-01,4.723113347624004477e-01
2.442484969939879846e+00,2.026648521007926307e-01,5.303474951343030153e-01,2.067567788812595397e-01,4.695649755639860201e-01
2.481763527054108298e+00,1.992191085360776603e-01,5.332219153545365575e-01,2.037233331472212972e-01,4.666688381689543252e-01
2.521042084168336750e+00,1.958622394371966058e-01,5.362403055414872721e-01,2.008030578601776028e-01,4.636243579739469101e-01
2.560320641282565202e+00,1.925895697470774715e-01,5.394000371679589234e-01,1.979913555078965381e-01,4.604334957318271804e-01
2.599599198396793653e+00,1.893967418066313524e-01,5.426979204500985698e-01,1.952838749334029345e-01,4.570987074939444894e-01
2.638877755511022105e+00,1.862796933055843041e-01,5.461302346589779200e-01,1.926764916619536638e-01,4.536229124982835703e-01
2.678156312625250557e+00,1.832346369071736203e-01,5.496927603930609196e-01,1.901652902206944773e-01,4.500094595310467627e-01
2.717434869739479009e+00,1.802580413872784948e-01,5.533808133487425618e-01,1.877465482373922856e-01,4.462620922477964491e-01
2.756713426853707460e+00,1.773466141482108460e-01,5.571892791632740982e-01,1.854167221275716537e-01,4.423849138968359296e-01
2.795991983967935912e+00,1.744972849842220952e-01,5.611126489423565733e-01,1.831724341997860439e-01,4.383823518432246602e-01
2.835270541082164364e+00,1.717071909902197213e-01,5.651450551226294694e-01,1.810104610269284431e-01,4.342591222476426260e-01
2.874549098196392816e+00,1.689736625175882190e-01,5.692803073565536609e-01,1.789277229477036213e-01,4.300201952110522252e-01
2.913827655310621267e+00,1.662942100916816046e-01,5.735119281432363714e-01,1.769212745768740935e-01,4.256707606543763678e-01
2.953106212424849719e+00,1.636665122147634710e-01,5.778331879631826151e-01,1.749882962158456623e-01,4.212161951626713363e-01
2.992384769539078171e+00,1.610884039861275041e-01,5.822371397075095656e-01,1.731260860667530876e-01,4.166620299858958543e-01
3.031663326653306623e+00,1.585578664780306624e-01,5.867166522225968350e-01,1.713320531635835753e-01,4.120139203535809758e-01
3.070941883767535074e+00,1.560730168120673111e-01,5.912644428194133717e-01,1.696037109431721701e-01,4.072776162286513291e-01
3.110220440881763526e+00,1.536320988858418668e-01,5.958731086227432305e-01,1.679386713872264014e-01,4.024589345963859310e-01
3.149498997995991978e+00,1.512334747043698469e-01,6.005351566592812551e-01,1.663346396739948108e-01,3.975637333580612776e-01
3.188777555110220430e+00,1.488756162746528444e-01,6.052430326051030374e-01,1.647894092848693481e-01,3.925978868751222040e-01
3.228056112224448881e+00,1.465570980254110589e-01,6.099891481323932441e-01,1.633008575171904786e-01,3.875672631887148167e-01
3.267334669338677333e+00,1.442765897170862066e-01,6.147659068126722914e-01,1.618669413598725071e-01,3.824777029209530665e-01
3.306613226452905785e+00,1.420328498100060233e-01,6.195657285491563693e-01,1.604856936932514133e-01,3.773349998482461443e-01
3.345891783567134237e+00,1.398247192610804768e-01,6.243810725244850479e-01,1.591552197788362877e-01,3.721448831232429533e-01
3.385170340681362688e+00,1.376511157216187831e-01,6.292044586619502944e-01,1.578736940084667917e-01,3.669130011102668121e-01
3.424448897795591140e+00,1.355110281108494741e-01,6.340284876086966781e-01,1.566393568857926410e-01,3.616449067893732217e-01
3.463727454909819592e+00,1.334035115415283523e-01,6.388458592582820783e-01,1.554505122160360076e-01,3.563460446761820277e-01
3.503006012024048044e+00,1.313276825756498900e-01,6.436493898375814648e-01,1.543055244827120087e-01,3.510217391982529689e-01
