Q,mo_1,mo_2,mo_3,Li3_like_total,Na3_like_total
-0.35500000,-2.00677968,0.81152968,1.19525000,-0.07153250,-0.04978875
-0.35000000,-2.00658407,0.81408407,1.19250000,-0.07175000,-0.04987500
-0.34500000,-2.00639149,0.81664149,1.18975000,-0.07193250,-0.04993875
-0.34000000,-2.00620193,0.81920193,1.18700000,-0.07208000,-0.04998000
-0.33500000,-2.00601539,0.82176539,1.18425000,-0.07219250,-0.04999875
-0.33000000,-2.00583187,0.82433187,1.18150000,-0.07227000,-0.04999500
-0.32500000,-2.00565134,0.82690134,1.17875000,-0.07231250,-0.04996875
-0.32000000,-2.00547381,0.82947381,1.17600000,-0.07232000,-0.04992000
-0.31500000,-2.00529927,0.83204927,1.17325000,-0.07229250,-0.04984875
-0.31000000,-2.00512770,0.83462770,1.17050000,-0.07223000,-0.04975500
-0.30500000,-2.00495911,0.83720911,1.16775000,-0.07213250,-0.04963875
-0.30000000,-2.00479348,0.83979348,1.16500000,-0.07200000,-0.04950000
-0.29500000,-2.00463081,0.84238081,1.16225000,-0.07183250,-0.04933875
-0.29000000,-2.00447109,0.84497109,1.15950000,-0.07163000,-0.04915500
-0.28500000,-2.00431431,0.84756431,1.15675000,-0.07139250,-0.04894875
-0.28000000,-2.00416047,0.85016047,1.15400000,-0.07112000,-0.04872000
-0.27500000,-2.00400955,0.85275955,1.15125000,-0.07081250,-0.04846875
-0.27000000,-2.00386155,0.85536155,1.14850000,-0.07047000,-0.04819500
-0.26500000,-2.00371646,0.85796646,1.14575000,-0.07009250,-0.04789875
-0.26000000,-2.00357428,0.86057428,1.14300000,-0.06968000,-0.04758000
-0.25500000,-2.00343500,0.86318500,1.14025000,-0.06923250,-0.04723875
-0.25000000,-2.00329860,0.86579860,1.13750000,-0.06875000,-0.04687500
-0.24500000,-2.00316509,0.86841509,1.13475000,-0.06823250,-0.04648875
-0.24000000,-2.00303445,0.87103445,1.13200000,-0.06768000,-0.04608000
-0.23500000,-2.00290667,0.87365667,1.12925000,-0.06709250,-0.04564875
-0.23000000,-2.00278176,0.87628176,1.12650000,-0.06647000,-0.04519500
-0.22500000,-2.00265970,0.87890970,1.12375000,-0.06581250,-0.04471875
-0.22000000,-2.00254048,0.88154048,1.12100000,-0.06512000,-0.04422000
-0.21500000,-2.00242410,0.88417410,1.11825000,-0.06439250,-0.04369875
-0.21000000,-2.00231055,0.88681055,1.11550000,-0.06363000,-0.04315500
-0.20500000,-2.00219982,0.88944982,1.11275000,-0.06283250,-0.04258875
-0.20000000,-2.00209191,0.89209191,1.11000000,-0.06200000,-0.04200000
-0.19500000,-2.00198681,0.89473681,1.10725000,-0.06113250,-0.04138875
-0.19000000,-2.00188450,0.89738450,1.10450000,-0.06023000,-0.04075500
-0.18500000,-2.00178499,0.90003499,1.10175000,-0.05929250,-0.04009875
-0.18000000,-2.00168826,0.90268826,1.09900000,-0.05832000,-0.03942000
-0.17500000,-2.00159431,0.90534431,1.09625000,-0.05731250,-0.03871875
-0.17000000,-2.00150314,0.90800314,1.09350000,-0.05627000,-0.03799500
-0.16500000,-2.00141472,0.91066472,1.09075000,-0.05519250,-0.03724875
-0.16000000,-2.00132906,0.91332906,1.08800000,-0.05408000,-0.03648000
-0.15500000,-2.00124615,0.91599615,1.08525000,-0.05293250,-0.03568875
-0.15000000,-2.00116599,0.91866599,1.08250000,-0.05175000,-0.03487500
-0.14500000,-2.00108855,0.92133855,1.07975000,-0.05053250,-0.03403875
-0.14000000,-2.00101385,0.92401385,1.07700000,-0.04928000,-0.03318000
-0.13500000,-2.00094186,0.92669186,1.07425000,-0.04799250,-0.03229875
-0.13000000,-2.00087258,0.92937258,1.07150000,-0.04667000,-0.03139500
-0.12500000,-2.00080602,0.93205602,1.06875000,-0.04531250,-0.03046875
-0.12000000,-2.00074214,0.93474214,1.06600000,-0.04392000,-0.02952000
-0.11500000,-2.00068096,0.93743096,1.06325000,-0.04249250,-0.02854875
-0.11000000,-2.00062247,0.94012247,1.06050000,-0.04103000,-0.02755500
-0.10500000,-2.00056664,0.94281664,1.05775000,-0.03953250,-0.02653875
-0.10000000,-2.00051349,0.94551349,1.05500000,-0.03800000,-0.02550000
-0.09500000,-2.00046300,0.94821300,1.05225000,-0.03643250,-0.02443875
-0.09000000,-2.00041517,0.95091517,1.04950000,-0.03483000,-0.02335500
-0.08500000,-2.00036998,0.95361998,1.04675000,-0.03319250,-0.02224875
-0.08000000,-2.00032743,0.95632743,1.04400000,-0.03152000,-0.02112000
-0.07500000,-2.00028752,0.95903752,1.04125000,-0.02981250,-0.01996875
-0.07000000,-2.00025023,0.96175023,1.03850000,-0.02807000,-0.01879500
-0.06500000,-2.00021556,0.96446556,1.03575000,-0.02629250,-0.01759875
-0.06000000,-2.00018351,0.96718351,1.03300000,-0.02448000,-0.01638000
-0.05500000,-2.00015406,0.96990406,1.03025000,-0.02263250,-0.01513875
-0.05000000,-2.00012720,0.97262720,1.02750000,-0.02075000,-0.01387500
-0.04500000,-2.00010294,0.97535294,1.02475000,-0.01883250,-0.01258875
-0.04000000,-2.00008126,0.97808126,1.02200000,-0.01688000,-0.01128000
-0.03500000,-2.00006216,0.98081216,1.01925000,-0.01489250,-0.00994875
-0.03000000,-2.00004563,0.98354563,1.01650000,-0.01287000,-0.00859500
-0.02500000,-2.00003166,0.98628166,1.01375000,-0.01081250,-0.00721875
-0.02000000,-2.00002024,0.98902024,1.01100000,-0.00872000,-0.00582000
-0.01500000,-2.00001137,0.99176137,1.00825000,-0.00659250,-0.00439875
-0.01000000,-2.00000505,0.99450505,1.00550000,-0.00443000,-0.00295500
-0.00500000,-2.00000126,0.99725126,1.00275000,-0.00223250,-0.00148875
0.00000000,-2.00000000,1.00000000,1.00000000,0.00000000,0.00000000
0.00500000,-2.00000126,0.99725000,1.00275126,-0.00223250,-0.00148875
0.01000000,-2.00000503,0.99450000,1.00550503,-0.00443000,-0.00295500
0.01500000,-2.00001131,0.99175000,1.00826131,-0.00659250,-0.00439875
0.02000000,-2.00002009,0.98900000,1.01102009,-0.00872000,-0.00582000
0.02500000,-2.00003137,0.98625000,1.01378137,-0.01081250,-0.00721875
0.03000000,-2.00004513,0.98350000,1.01654513,-0.01287000,-0.00859500
0.03500000,-2.00006137,0.98075000,1.01931137,-0.01489250,-0.00994875
0.04000000,-2.00008008,0.97800000,1.02208008,-0.01688000,-0.01128000
0.04500000,-2.00010125,0.97525000,1.02485125,-0.01883250,-0.01258875
0.05000000,-2.00012489,0.97250000,1.02762489,-0.02075000,-0.01387500
0.05500000,-2.00015098,0.96975000,1.03040098,-0.02263250,-0.01513875
0.06000000,-2.00017951,0.96700000,1.03317951,-0.02448000,-0.01638000
0.06500000,-2.00021049,0.96425000,1.03596049,-0.02629250,-0.01759875
0.07000000,-2.00024389,0.96150000,1.03874389,-0.02807000,-0.01879500
0.07500000,-2.00027972,0.95875000,1.04152972,-0.02981250,-0.01996875
0.08000000,-2.00031797,0.95600000,1.04431797,-0.03152000,-0.02112000
0.08500000,-2.00035863,0.95325000,1.04710863,-0.03319250,-0.02224875
0.09000000,-2.00040169,0.95050000,1.04990169,-0.03483000,-0.02335500
0.09500000,-2.00044716,0.94775000,1.05269716,-0.03643250,-0.02443875
0.10000000,-2.00049501,0.94500000,1.05549501,-0.03800000,-0.02550000
0.10500000,-2.00054525,0.94225000,1.05829525,-0.03953250,-0.02653875
0.11000000,-2.00059787,0.93950000,1.06109787,-0.04103000,-0.02755500
0.11500000,-2.00065285,0.93675000,1.06390285,-0.04249250,-0.02854875
0.12000000,-2.00071021,0.93400000,1.06671021,-0.04392000,-0.02952000
0.12500000,-2.00076992,0.93125000,1.06951992,-0.04531250,-0.03046875
0.13000000,-2.00083198,0.92850000,1.07233198,-0.04667000,-0.03139500
0.13500000,-2.00089639,0.92575000,1.07514639,-0.04799250,-0.03229875
0.14000000,-2.00096314,0.92300000,1.07796314,-0.04928000,-0.03318000
0.14500000,-2.00103222,0.92025000,1.08078222,-0.05053250,-0.03403875
0.15000000,-2.00110362,0.91750000,1.08360362,-0.05175000,-0.03487500
0.15500000,-2.00117734,0.91475000,1.08642734,-0.05293250,-0.03568875
0.16000000,-2.00125338,0.91200000,1.08925338,-0.05408000,-0.03648000
0.16500000,-2.00133172,0.90925000,1.09208172,-0.05519250,-0.03724875
0.17000000,-2.00141236,0.90650000,1.09491236,-0.05627000,-0.03799500
0.17500000,-2.00149529,0.90375000,1.09774529,-0.05731250,-0.03871875
0.18000000,-2.00158051,0.90100000,1.10058051,-0.05832000,-0.03942000
0.18500000,-2.00166801,0.89825000,1.10341801,-0.05929250,-0.04009875
0.19000000,-2.00175778,0.89550000,1.10625778,-0.06023000,-0.04075500
0.19500000,-2.00184982,0.89275000,1.10909982,-0.06113250,-0.04138875
0.20000000,-2.00194412,0.89000000,1.11194412,-0.06200000,-0.04200000
0.20500000,-2.00204068,0.88725000,1.11479068,-0.06283250,-0.04258875
0.21000000,-2.00213948,0.88450000,1.11763948,-0.06363000,-0.04315500
0.21500000,-2.00224052,0.88175000,1.12049052,-0.06439250,-0.04369875
0.22000000,-2.00234380,0.87900000,1.12334380,-0.06512000,-0.04422000
0.22500000,-2.00244931,0.87625000,1.12619931,-0.06581250,-0.04471875
0.23000000,-2.00255704,0.87350000,1.12905704,-0.06647000,-0.04519500
0.23500000,-2.00266699,0.87075000,1.13191699,-0.06709250,-0.04564875
0.24000000,-2.00277914,0.86800000,1.13477914,-0.06768000,-0.04608000
0.24500000,-2.00289350,0.86525000,1.13764350,-0.06823250,-0.04648875
0.25000000,-2.00301006,0.86250000,1.14051006,-0.06875000,-0.04687500
0.25500000,-2.00312881,0.85975000,1.14337881,-0.06923250,-0.04723875
0.26000000,-2.00324974,0.85700000,1.14624974,-0.06968000,-0.04758000
0.26500000,-2.00337285,0.85425000,1.14912285,-0.07009250,-0.04789875
0.27000000,-2.00349814,0.85150000,1.15199814,-0.07047000,-0.04819500
0.27500000,-2.00362559,0.84875000,1.15487559,-0.07081250,-0.04846875
0.28000000,-2.00375520,0.84600000,1.15775520,-0.07112000,-0.04872000
