Q,mo_1,mo_2,mo_3,Li3_like_total,Na3_like_total
0.95000000,-2.03833459,0.47750000,1.56083459,0.20425000,0.12112500
0.95500000,-2.03870525,0.47475000,1.56395525,0.20866750,0.12391125
0.96000000,-2.03907737,0.47200000,1.56707737,0.21312000,0.12672000
0.96500000,-2.03945094,0.46925000,1.57020094,0.21760750,0.12955125
0.97000000,-2.03982596,0.46650000,1.57332596,0.22213000,0.13240500
0.97500000,-2.04020242,0.46375000,1.57645242,0.22668750,0.13528125
0.98000000,-2.04058032,0.46100000,1.57958032,0.23128000,0.13818000
0.98500000,-2.04095965,0.45825000,1.58270965,0.23590750,0.14110125
0.99000000,-2.04134041,0.45550000,1.58584041,0.24057000,0.14404500
0.99500000,-2.04172260,0.45275000,1.58897260,0.24526750,0.14701125
1.00000000,-2.04210622,0.45000000,1.59210622,0.25000000,0.15000000
