beta_blue,Cv_blue_over_kB,beta_red,Cv_red_over_kB
2.915951972555746341e+00,9.766617429837517461e-01,3.053173241852487063e+00,9.846381093057606781e-01
2.950257289879931299e+00,9.677991137370752783e-01,3.087478559176672466e+00,9.757754800590842104e-01
2.984562607204116702e+00,9.571639586410635170e-01,3.121783876500857424e+00,9.651403249630723380e-01
3.018867924528302105e+00,9.491875923190546960e-01,3.156089193825042827e+00,9.562776957163958702e-01
3.053173241852487063e+00,9.394387001477104704e-01,3.190394511149228229e+00,9.456425406203838868e-01
3.087478559176672466e+00,9.323485967503691851e-01,3.224699828473413188e+00,9.367799113737074190e-01
3.121783876500857424e+00,9.234859675036927174e-01,3.259005145797598590e+00,9.270310192023633045e-01
3.156089193825042827e+00,9.155096011816837853e-01,3.293310463121783993e+00,9.190546528803543724e-01
3.190394511149228229e+00,9.066469719350073175e-01,3.327615780445968952e+00,9.101920236336779046e-01
3.224699828473413188e+00,8.995568685376660323e-01,3.361921097770154354e+00,9.013293943870014369e-01
3.259005145797598590e+00,8.915805022156573223e-01,3.396226415094339757e+00,8.924667651403248581e-01
3.293310463121783993e+00,8.853766617429836838e-01,3.430531732418524715e+00,8.853766617429836838e-01
3.327615780445968952e+00,8.765140324963072160e-01,3.464837049742710118e+00,8.765140324963072160e-01
3.361921097770154354e+00,8.711964549483013354e-01,3.499142367066895520e+00,8.685376661742983950e-01
3.396226415094339757e+00,8.632200886262925144e-01,3.533447684391080479e+00,8.605612998522894630e-01
3.430531732418524715e+00,8.579025110782866337e-01,3.567753001715265881e+00,8.525849335302805310e-01
3.464837049742710118e+00,8.499261447562777017e-01,3.602058319039451284e+00,8.446085672082718210e-01
3.499142367066895520e+00,8.446085672082718210e-01,3.636363636363636243e+00,8.357459379615952422e-01
