beta,Cv_no_GP_over_kB,Cv_GP_over_kB,phase_delta,interference_no_GP,interference_GP,path_ratio,splitting_no_GP,splitting_GP
1.971142284569138425e+00,5.071835987003264767e-01,4.928135071541930312e-01,5.036621488721111373e-01,9.379104766746721999e-01,6.208952332532774454e-02,1.202404809619238429e-01,1.120240480961923746e+00,8.797595190380761432e-01
2.010420841683366877e+00,5.083558293051967381e-01,4.916400652441249020e-01,5.162537025939138990e-01,9.348372731460021789e-01,6.516272685399782105e-02,1.232464929859719421e-01,1.123246492985972012e+00,8.767535070140280995e-01
2.049699398797595329e+00,5.096537936792560064e-01,4.903404649225190925e-01,5.288452563157166608e-01,9.316951282851706484e-01,6.830487171482929609e-02,1.262525050100200275e-01,1.126252505010020055e+00,8.737474949899799448e-01
2.088977955911823781e+00,5.110825077270890748e-01,4.889095700757140617e-01,5.414368100375194226e-01,9.284845402639445577e-01,7.151545973605549777e-02,1.292585170340681266e-01,1.129258517034068099e+00,8.707414829659319011e-01
2.128256513026052232e+00,5.126464137967663426e-01,4.873427924334862160e-01,5.540283637593221844e-01,9.252060181054200250e-01,7.479398189458003054e-02,1.322645290581162258e-01,1.132264529058116143e+00,8.677354709418837464e-01
2.167535070140280684e+00,5.143493452302860813e-01,4.856361234674089755e-01,5.666199174811249462e-01,9.218600816033201140e-01,7.813991839667988604e-02,1.352705410821643250e-01,1.135270541082164408e+00,8.647294589178357027e-01
2.206813627254509136e+00,5.161944989666724659e-01,4.837861581009488265e-01,5.792114712029277079e-01,9.184472612395839786e-01,8.155273876041607695e-02,1.382765531062124242e-01,1.138276553106212452e+00,8.617234468937875480e-01
2.246092184368737588e+00,5.181844159413462325e-01,4.817901105343524448e-01,5.918030249247305807e-01,9.149680981002608071e-01,8.503190189973919288e-02,1.412825651302605234e-01,1.141282565130260496e+00,8.587174348697395043e-01
2.285370741482966039e+00,5.203209689142020977e-01,4.796458226026628080e-01,6.043945786465333425e-01,9.114231437897244437e-01,8.857685621027555634e-02,1.442885771543086226e-01,1.144288577154308539e+00,8.557114228456913496e-01
2.324649298597194491e+00,5.226053572726810925e-01,4.773517651742140155e-01,6.169861323683361043e-01,9.078129603432180117e-01,9.218703965678198831e-02,1.472945891783567218e-01,1.147294589178356805e+00,8.527054108216433059e-01
2.363927855711422943e+00,5.250381082928656795e-01,4.749070331618562291e-01,6.295776860901388661e-01,9.041381201377467480e-01,9.586187986225325197e-02,1.503006012024048210e-01,1.150300601202404849e+00,8.496993987975951512e-01
2.403206412825651395e+00,5.276190842986949736e-01,4.723113347624003922e-01,6.421692398119416278e-01,9.003992058013301492e-01,9.960079419866985084e-02,1.533066132264528925e-01,1.153306613226452892e+00,8.466933867735471075e-01
2.442484969939879846e+00,5.303474951343029042e-01,4.695649755639860201e-01,6.547607935337443896e-01,8.965968101206290841e-01,1.034031898793709159e-01,1.563126252505009917e-01,1.156312625250500936e+00,8.436873747494990639e-01
2.481763527054108298e+00,5.332219153545366686e-01,4.666688381689543808e-01,6.673523472555471514e-01,8.927315359469625289e-01,1.072684640530375266e-01,1.593186372745490909e-01,1.159318637274548980e+00,8.406813627254509091e-01
2.521042084168336750e+00,5.362403055414872721e-01,4.636243579739469101e-01,6.799439009773500242e-01,8.888039961007281331e-01,1.111960038992718669e-01,1.623246492985971901e-01,1.162324649298597246e+00,8.376753507014027544e-01
2.560320641282565202e+00,5.394000371679588124e-01,4.604334957318272914e-01,6.925354546991527860e-01,8.848148132742430505e-01,1.151851867257569495e-01,1.653306613226452892e-01,1.165330661322645289e+00,8.346693386773547108e-01
2.599599198396793653e+00,5.426979204500985698e-01,4.570987074939444339e-01,7.051270084209555478e-01,8.807646199330185777e-01,1.192353800669814778e-01,1.683366733466933884e-01,1.168336673346693333e+00,8.316633266533066671e-01
2.638877755511022105e+00,5.461302346589780310e-01,4.536229124982835703e-01,7.177185621427583095e-01,8.766540582154858097e-01,1.233459417845142458e-01,1.713426853707414876e-01,1.171342685370741599e+00,8.286573146292585124e-01
2.678156312625250557e+00,5.496927603930611417e-01,4.500094595310468737e-01,7.303101158645610713e-01,8.724837798311882997e-01,1.275162201688117003e-01,1.743486973947895868e-01,1.174348697394789642e+00,8.256513026052103577e-01
2.717434869739479009e+00,5.533808133487426728e-01,4.462620922477963936e-01,7.429016695863638331e-01,8.682544459574561557e-01,1.317455540425438443e-01,1.773547094188376860e-01,1.177354709418837686e+00,8.226452905811623140e-01
2.756713426853707460e+00,5.571892791632742092e-01,4.423849138968358186e-01,7.554932233081665949e-01,8.639667271345798927e-01,1.360332728654201628e-01,1.803607214428857575e-01,1.180360721442885730e+00,8.196392785571142703e-01
