T_K,TST_flux_au,WKB_flux_au,instanton_flux_au,analytic_flux_au,E_star_au,sigma_E_au,SC3_flux_au,Lawrence_flux_au,invalid_extrapolation_flux_au,SC3_relative_error_exact,Lawrence_relative_error_exact,instanton_relative_error_exact,DVR_flux_au
100.0,9.738840926430476e-19,6.270263966008982e-13,6.269898642079833e-13,7.609701500526184e-13,0.0016154757983735245,0.0010115243386133556,6.269801699388818e-13,6.269430088153363e-13,nan,-0.17607783972140256,-0.17612667359950274,-0.17606510036611922,7.607031263708062e-13
150.0,5.443901078947394e-14,1.468769565981518e-11,1.4761276660130405e-11,1.762117548320866e-11,0.003634820546340431,0.001858288869006715,1.4526445734065503e-11,1.4526405489324604e-11,nan,-0.1756256131772903,-0.17562789706243398,-0.1622989808939519,1.76209132630765e-11
200.0,1.4012150993022597e-11,2.5187169977508153e-10,2.912450388006997e-10,2.7863079018930215e-10,0.006461903193494098,0.0028610228766749652,2.3266439047512318e-10,2.326642680838095e-10,nan,-0.16497243424873942,-0.16497287350856993,0.04527227088875363,2.7863053122223766e-10
240.0,2.3362212939419054e-10,1.6849881759459425e-09,2.9458566813025358e-09,1.7114415724378793e-09,0.009305140598631502,0.003760912241023679,1.4530444042973647e-09,1.4530434241296327e-09,nan,-0.15098217333381603,-0.15098274604850748,0.7212721303165974,1.7114413152935947e-09
248.79965391436042,3.857026946791562e-10,2.4355195494947727e-09,nan,2.43254445381433e-09,nan,nan,2.0731205626090286e-09,2.073119080528762e-09,4.871039014837164e-09,-0.1477563506153855,-0.14775695988699167,nan,2.432544197005485e-09
260.0,6.963463213720289e-10,3.798055041311939e-09,nan,3.7189488577111893e-09,nan,nan,3.184609030250388e-09,3.1846066099511143e-09,9.21393996205246e-09,-0.14368033761821042,-0.14368098842018862,nan,3.7189486013014196e-09
300.0,4.0574382079951666e-09,1.516069515960011e-08,nan,1.4030094647057378e-08,nan,nan,1.2207973338502783e-08,1.2207962923875432e-08,8.787158237704188e-08,-0.129872346152473,-0.129873088458752,nan,1.4030094391861009e-08
400.0,7.516550413274175e-08,1.7491168857618323e-07,nan,1.5098493083974974e-07,nan,nan,1.355038902450727e-07,1.3550378300388735e-07,2.2218235951824265e-05,-0.10253368007372932,-0.10253439035113743,nan,1.5098493058662673e-07
