E,analytic_P,ODE_P,fine_ODE_P,flux_balance_error,action_analytic,action_quadrature
0.001,3.5197592119621524e-08,3.5197592145377176e-08,3.519759211954098e-08,1.5543122344752192e-15,17.35679216432919,17.35679216432918
0.003,1.2554725094219195e-05,1.2554725088758528e-05,1.2554725094216502e-05,6.8833827526759706e-15,11.48055621426489,11.48055621426489
0.006,0.00396429958788865,0.003964299589230904,0.003964299587894562,3.4416913763379853e-13,5.721611043392357,5.721611043392354
0.01,0.5486350219890862,0.5486350220760338,0.5486350219895755,8.299716469650775e-11,nan,nan
0.014,0.992200680895141,0.9922006810686369,0.9922006808963153,1.689552941996908e-10,nan,nan
