p0,grid_time_max_difference,box_observation_max_difference,center,edge,norm,FSSH_halfstep_T_upper,FSSH_halfstep_R_lower
6.0,1.4920721169708884e-07,1.1903777386718106e-07,1.966159744293306e-06,1.9075865767315022e-16,1.0000000000085225,0.0,0.00175
12.0,6.625853515851432e-07,7.215087849399282e-08,1.9595623358863328e-10,6.825971951713604e-26,1.000000000004257,0.221,0.0
20.0,8.06375577422358e-08,1.5921333140767047e-08,5.529259558203682e-27,2.973554334177922e-26,1.0000000000015148,0.5025,0.0
30.0,1.4518052526835135e-07,4.035409562064274e-09,2.5777747772996226e-27,1.7692288755650362e-26,1.0000000000035212,0.71675,0.0
