x,analytic_F,wham_mean,wham_run_sd,plain_pooled_F
-1.794,34.934794288768,nan,nan,nan
-1.782,33.51218939660801,nan,nan,nan
-1.77,32.12829928000001,nan,nan,nan
-1.758,30.782534704768004,nan,nan,nan
-1.746,29.474310418047992,nan,nan,nan
-1.734,28.20304514828799,nan,nan,nan
-1.722,26.968161605248,nan,nan,nan
-1.71,25.76908647999999,nan,nan,nan
-1.698,24.605250444927993,nan,nan,nan
-1.686,23.476088153727996,nan,nan,nan
-1.6740000000000002,22.38103824140801,nan,nan,nan
-1.6620000000000001,21.31954332428801,nan,nan,nan
-1.6500000000000001,20.291050000000016,nan,nan,nan
-1.6380000000000001,19.295008847488003,nan,nan,nan
-1.6260000000000001,18.330874427008013,nan,nan,nan
-1.614,17.398105280128007,nan,nan,nan
-1.602,16.49616392972801,nan,nan,nan
-1.59,15.624516880000005,nan,nan,nan
-1.578,14.782634616448009,nan,nan,nan
-1.566,13.969991605887998,nan,nan,nan
-1.554,13.186066296448008,nan,nan,nan
-1.542,12.430341117568,nan,nan,nan
-1.53,11.70230248,nan,nan,nan
-1.518,11.001440775808005,nan,nan,nan
-1.506,10.327250378368,nan,nan,7.902296130876297
-1.494,9.679229642367998,nan,nan,7.902296130876297
-1.482,9.056880903808004,nan,nan,6.803683842208188
-1.47,8.459710479999996,nan,nan,5.5044008580779265
-1.458,7.887228669567997,7.932687004524994,0.425344536991625,4.8577736931528746
-1.446,7.338949752448,7.456051744692997,0.32269831537175875,4.238734484746651
-1.434,6.814391989887995,6.862023107619064,0.36662413274749395,3.6681896262790374
-1.422,6.313077624448,6.419768316030646,0.261386579909498,3.042483726514625
-1.41,5.834532879999997,5.769817913400971,0.19251641142173542,2.614029100181762
-1.398,5.378287961727997,5.4062504664712625,0.2138097458741721,2.152903144968044
-1.3860000000000001,4.943877056128004,5.005530796959872,0.13853154206153134,1.7078907397716248
-1.374,4.530838331008004,4.57997083039188,0.09121365102368822,1.3188869087175323
-1.362,4.1387139354880045,4.128721631917267,0.1126763955328674,0.9138829488767057
-1.35,3.767050000000003,3.794889842888088,0.09831618744444091,0.5127321771986622
-1.338,3.4153966362880017,3.415034002967572,0.09677532366866178,0.19209093644376463
-1.326,3.083307937408002,3.1067069715421898,0.06558144409794107,-0.12420080806911526
-1.314,2.7703419777280027,2.7968545336203583,0.12836378750505376,-0.4601128467390738
-1.302,2.4760608129280013,2.5174266393565294,0.10237109319909167,-0.7424103808388998
-1.29,2.200030480000001,2.213840858116837,0.08698137162182648,-1.0372848358440125
-1.278,1.9418209972479996,1.9604575443433807,0.09910389958821664,-1.2806730443037535
-1.266,1.7010063642880007,1.715693476714664,0.07816123341838667,-1.538917838476006
-1.254,1.4771645620480003,1.4984392560427269,0.07884450623094832,-1.7472664460061833
-1.242,1.2698775527680004,1.295854865562706,0.08383258477691706,-1.954414230100902
-1.23,1.0787312799999995,1.1013798524329765,0.08676447274432691,-2.147453928638083
-1.218,0.9033156686079991,0.9308858822307217,0.08113386267809347,-2.330890773993615
-1.2060000000000002,0.7432246247680028,0.7608213788895207,0.08031341517848392,-2.487498917612096
-1.1940000000000002,0.5980560359680016,0.622016091333324,0.0743533546547305,-2.625336802121536
-1.1820000000000002,0.46741177100800213,0.4778747239429131,0.07909494697353164,-2.7672637322343325
-1.1700000000000002,0.35089768000000165,0.36906222261798166,0.0732052231562629,-2.8836357727501563
-1.1580000000000001,0.2481235943680009,0.257835595207723,0.08294371875003112,-2.9818831652175657
-1.1460000000000001,0.15870332684800115,0.18021967636401712,0.08178398732655341,-3.071798533917863
-1.1340000000000001,0.08225467148800081,0.11121845947858412,0.06694566792128097,-3.1459554763490845
-1.122,0.018399403648000745,0.03612612879406582,0.07675521725914732,-3.209688973857183
-1.11,-0.033236719999999664,-0.027890158998994507,0.08692448633924871,-3.259652411269837
