replica,umbrella_right_probability,plain_right_probability,umbrella_F0_minus_F1,finebin_F0_minus_F1,min_adjacent_overlap,iterations,wham_residual,samples_per_method,plain_acceptance,umbrella_acceptance
0,0.4908615626881295,0.0,9.99886926703864,9.985718776963594,0.6962057476756124,1008,9.891554242358325e-11,168000,0.6187916666666667,0.5969869047619047
1,0.4736975150258969,0.02307738095238095,10.01648391877306,10.151439383706924,0.6994068295593889,1095,9.973177839128766e-11,168000,0.6180369047619048,0.5966369047619048
2,0.48965429526160614,5.9523809523809525e-06,9.931030551979156,9.844989155920942,0.7005417101478261,1025,9.978151638279087e-11,168000,0.6188869047619048,0.5968535714285714
3,0.505139949805015,0.0639345238095238,10.088299091306594,10.00099299270196,0.6928335536287851,997,9.923351029783589e-11,168000,0.619207142857143,0.5969011904761904
4,0.4871755485800962,0.04701190476190476,9.994814121330176,10.057779509427217,0.6879628352380236,1037,9.85629355909623e-11,168000,0.6188035714285715,0.5969107142857143
5,0.497456135877129,0.0,9.965157743652382,9.932897220866348,0.7079796305929816,934,9.965361869035405e-11,168000,0.6195309523809525,0.5959535714285715
6,0.5252083172966344,0.0,10.000638861400555,9.994103197880607,0.6918283360268134,1092,9.85931336572321e-11,168000,0.619347619047619,0.5967499999999999
7,0.5201502488200493,0.12102380952380952,10.078819590884889,10.103947897827851,0.7001048119937092,1073,9.947331847115493e-11,168000,0.6186261904761905,0.5962797619047618
8,0.5137678660928231,0.04894642857142857,10.02194010054733,10.024450717597826,0.6840302644782321,1047,9.9262820185686e-11,168000,0.6183166666666667,0.5962309523809525
9,0.5141682440519523,0.0,10.075344167484538,10.13734117446822,0.6932232471641844,1054,9.964029601405855e-11,168000,0.6187559523809524,0.5952892857142859
10,0.5264111362143139,0.022702380952380953,10.043605036517096,10.055955803293447,0.6907205575714037,1097,9.986678151108208e-11,168000,0.6188285714285714,0.5970583333333334
11,0.5019412006310344,0.130125,9.94038949429023,10.01080409261522,0.7009189891033832,961,9.901235387133056e-11,168000,0.6193297619047621,0.5960476190476188
