T_K,TST_flux_au,WKB_flux_au,instanton_flux_au,analytic_flux_au,E_star_au,sigma_E_au,DVR_flux_au,DVR_window_std_au,TST_over_DVR,WKB_over_DVR,instanton_over_DVR,DVR_over_DVR,DVR_relative_error_analytic
100.0,9.738840926430476e-19,6.270263966008982e-13,6.269898642079833e-13,7.609701500526184e-13,0.0016154757983735245,0.0010115243386133556,7.607031267273005e-13,8.798228494142335e-17,1.2802420003620794e-06,0.8242721431926976,0.8242241186853289,1.0,-0.0003508985540358056
150.0,5.443901078947394e-14,1.468769565981518e-11,1.4761276660130405e-11,1.762117548320866e-11,0.003634820546340431,0.001858288869006715,1.7620913263792612e-11,8.509275045007555e-17,0.0030894545574624115,0.8335377082864032,0.8377134850587922,1.0,-1.4880926434091002e-05
180.0,2.1820366242598397e-12,8.50998238719565e-11,8.96461609362365e-11,9.805020968948523e-11,0.005234141586730219,0.002442784156597777,9.804994957932164e-11,8.37981306758737e-17,0.022254337035579903,0.8679231783093514,0.9142907397796615,1.0,-2.6528261837244216e-06
200.0,1.4012150993022597e-11,2.5187169977508153e-10,2.912450388006997e-10,2.7863079018930215e-10,0.006461903193494098,0.0028610228766749652,2.7863053122254196e-10,8.30955764218229e-17,0.05028935964605797,0.9039630318685781,1.045273242393105,1.0,-9.294262131032127e-07
230.0,1.263542107815141e-10,1.085105038461361e-09,1.6593622408360046e-09,1.1247140374971768e-09,0.008545866973395946,0.0035283210114325832,1.1247137799451588e-09,8.222811277353347e-17,0.11234343620087518,0.964783270028283,1.4753640174275409,1.0,-2.289933347388029e-07
240.0,2.3362212939419054e-10,1.6849881759459425e-09,2.9458566813025358e-09,1.7114415724378793e-09,0.009305140598631502,0.003760912241023679,1.711441315292368e-09,8.197965336946569e-17,0.1365060708226975,0.9845433558778458,1.721272388939197,1.0,-1.502508267803293e-07
260.0,6.963463213720289e-10,3.798055041311939e-09,nan,3.7189488577111893e-09,nan,nan,3.7189486012989753e-09,8.153291593114048e-17,0.1872427925271151,1.0212711840075803,nan,1.0,-6.894749671193523e-08
300.0,4.0574382079951666e-09,1.516069515960011e-08,nan,1.4030094647057378e-08,nan,nan,1.4030094391855448e-08,8.080184119524541e-17,0.2891953606777252,1.0805839744314893,nan,1.0,-1.8189608597118934e-08
