T_K,beads,discrete_action,continuum_action,relative_force_residual
100.0,32,20.243721348920353,20.282610646996794,0.07568934813822306
100.0,64,20.272814740817445,20.282610646996794,0.019354129849159546
100.0,128,20.280157391109263,20.282610646996794,0.005176730969623698
100.0,256,20.281997064375815,20.282610646996794,0.0012968374071675082
100.0,512,20.28245723453226,20.282610646996794,0.0003250479258368307
100.0,1024,20.28257229282979,20.282610646996794,8.134762648941664e-05
180.0,32,16.189690279370268,16.201595363995505,0.013958309867152354
180.0,64,16.198614703623228,16.201595363995505,0.0035668011409479435
180.0,128,16.200849923718742,16.201595363995505,0.0009069345042513946
180.0,256,16.201408986713858,16.201595363995505,0.00022695043604007098
180.0,512,16.201548768599103,16.201595363995505,5.6782452695561877e-05
180.0,1024,16.201583715079153,16.201595363995505,1.4196918512596164e-05
230.0,32,13.647874078358534,13.650960812119699,0.0036855521833626605
230.0,64,13.650188363595642,13.650960812119699,0.0009257428353344675
230.0,128,13.650767652132338,13.650960812119699,0.0002318270934183515
230.0,256,13.650912519131232,13.650960812119699,5.8038772072767646e-05
230.0,512,13.650948738685596,13.650960812119699,1.4510707341789436e-05
230.0,1024,13.650957793749486,13.650960812119699,3.627761159408012e-06
