T_K,imaginary_time_fraction,x
100.0,0.0,1.0410303087319768
100.0,0.00390625,1.0408464302958258
100.0,0.0078125,1.0402946270652624
100.0,0.01171875,1.0393743947742904
100.0,0.015625,1.0380848913120768
100.0,0.01953125,1.0364249342148169
100.0,0.0234375,1.0343929971406458
100.0,0.02734375,1.0319872053139865
100.0,0.03125,1.029205329922008
100.0,0.03515625,1.0260447814422615
100.0,0.0390625,1.0225026018771581
100.0,0.04296875,1.0185754558678122
100.0,0.046875,1.0142596206569603
100.0,0.05078125,1.0095509748683307
100.0,0.0546875,1.004444986068101
100.0,0.05859375,0.9989366970731323
100.0,0.0625,0.993020710970753
100.0,0.06640625,0.9866911748162773
100.0,0.0703125,0.9799417619775465
100.0,0.07421875,0.9727656531010834
100.0,0.078125,0.9651555156825182
100.0,0.08203125,0.9571034822355223
100.0,0.0859375,0.9486011270695552
100.0,0.08984375,0.9396394417083768
100.0,0.09375,0.9302088090100322
100.0,0.09765625,0.9202989760866206
100.0,0.1015625,0.9098990261708728
100.0,0.10546875,0.8989973496391485
100.0,0.109375,0.8875816144802942
100.0,0.11328125,0.8756387366011006
100.0,0.1171875,0.863154850486922
100.0,0.12109375,0.8501152808966251
100.0,0.125,0.8365045164719175
100.0,0.12890625,0.8223061863912643
100.0,0.1328125,0.8075030415087351
100.0,0.13671875,0.7920769418007194
100.0,0.140625,0.7760088524128426
100.0,0.14453125,0.7592788511717142
100.0,0.1484375,0.7418661511186136
100.0,0.15234375,0.7237491424525886
100.0,0.15625,0.7049054592549223
100.0,0.16015625,0.6853120775175693
100.0,0.1640625,0.6649454523182089
100.0,0.16796875,0.6437817034616832
100.0,0.171875,0.6217968605038134
100.0,0.17578125,0.5989671797115571
100.0,0.1796875,0.5752695470575696
100.0,0.18359375,0.5506819825802666
100.0,0.1875,0.5251842620360639
100.0,0.19140625,0.49875867126487855
100.0,0.1953125,0.47139090646053833
100.0,0.19921875,0.4430711288004661
100.0,0.203125,0.41379517373624086
100.0,0.20703125,0.38356590275317126
100.0,0.2109375,0.35239466783723455
100.0,0.21484375,0.3203028360309979
100.0,0.21875,0.2873232940926352
100.0,0.22265625,0.2535018236845449
100.0,0.2265625,0.21889820995141843
100.0,0.23046875,0.18358692706959578
100.0,0.234375,0.1476572410347405
100.0,0.23828125,0.11121259010349073
100.0,0.2421875,0.07436915173892619
100.0,0.24609375,0.03725358092245447
100.0,0.25,9.299906456964683e-17
100.0,0.25390625,-0.03725358092245428
100.0,0.2578125,-0.07436915173892601
100.0,0.26171875,-0.11121259010349055
100.0,0.265625,-0.14765724103474034
100.0,0.26953125,-0.1835869270695956
100.0,0.2734375,-0.21889820995141832
100.0,0.27734375,-0.2535018236845447
100.0,0.28125,-0.28732329409263496
100.0,0.28515625,-0.32030283603099774
100.0,0.2890625,-0.3523946678372345
100.0,0.29296875,-0.3835659027531712
100.0,0.296875,-0.4137951737362406
100.0,0.30078125,-0.4430711288004659
100.0,0.3046875,-0.47139090646053816
100.0,0.30859375,-0.4987586712648784
100.0,0.3125,-0.5251842620360638
100.0,0.31640625,-0.5506819825802663
100.0,0.3203125,-0.5752695470575692
100.0,0.32421875,-0.5989671797115571
