T_K,T_over_Tc,E_star,instanton_action,gaussian_energy_width,exact_flux,classical_TST_flux,thermal_WKB_flux,instanton_flux,exact_over_TST,WKB_over_TST,instanton_over_TST,instanton_over_exact,WKB_over_exact
230.0,0.9244385849474234,0.008545866973395946,13.650960812119699,0.0035283210114325832,1.1247140374971768e-09,1.263542107815141e-10,1.085105038461361e-09,1.6593622408360046e-09,8.901278639949567,8.587802747133411,13.13262320719408,1.4753636795790146,0.9647830490993446
232.0,0.9324771813382705,0.008695136937165658,13.548935430044668,0.0035744424922274044,1.2253823500888103e-09,1.4346680414521974e-10,1.1871400090408112e-09,1.8616176470537958e-09,8.541225668123587,8.274666854913463,12.97594700143618,1.5192136943370156,0.968791503284483
234.0,0.9405157777291177,0.008845699281574075,13.446910047969634,0.003620763203426604,1.3338761766009983e-09,1.625556965326868e-10,1.297560383402106e-09,2.0882926329530645e-09,8.20565630766918,7.982251075041174,12.846628432570183,1.565582075447573,0.9727742395913894
236.0,0.9485543741199648,0.008997554006621184,13.344884665894602,0.003667282291775436,1.4506965751627349e-09,1.8380821405355154e-10,1.416936936748029e-09,2.3423114164969125e-09,7.892446932431878,7.708779197077733,12.74323581542712,1.6146115297984756,0.976728670217672
238.0,0.9565929705108119,0.009150701112306992,13.242859283819573,0.0037139989148890595,1.5763685255461532e-09,2.074252935793497e-10,1.5458695740976754e-09,2.6269458869826813e-09,7.5996928742112155,7.452657038213661,12.664539804436886,1.666454159932267,0.9806523976124739
240.0,0.9646315669016591,0.009305140598631502,13.14083390174454,0.003760912241023679,1.7114415724378791e-09,2.3362212939419054e-10,1.6849881759459425e-09,2.9458566813025358e-09,7.325682617806143,7.212451064953965,12.609493325574448,1.7212721303165976,0.9845432079493928
242.0,0.9726701632925063,0.00946087246559471,13.038808519669509,0.003808021448854379,1.8564904628192615e-09,2.626288286612672e-10,1.8349534363274291e-09,3.3031390862204336e-09,7.06887538692,6.98686981806598,12.577214402005916,1.7792383814373576,0.9883990642973052
244.0,0.9807087596833535,0.009617896713196615,12.936783137594476,0.003855325727259408,2.0121157765681295e-09,2.946910747493292e-10,1.996457691954165e-09,3.703374330856532e-09,6.827881632586532,6.774747737617764,12.566971476848103,1.8405373955036615,0.9922180995764216
246.0,0.9887473560742006,0.009776213341437221,12.834757755519444,0.0039028242751106513,2.1789445494133876e-09,3.300707974415959e-10,2.1702257411241727e-09,4.15168689923324e-09,6.601446011893673,6.575031047719941,12.57817089973813,1.9053660178506844,0.9959986093764698
248.0,0.9967859524650478,0.009935822350316526,12.73273237344441,0.003950516301070092,2.357630887394437e-09,3.6904684903156166e-10,2.357015651128732e-09,4.653808566013158e-09,6.38843250817949,6.386765412884354,12.610346296752027,1.973934338447851,0.9997390447041584
250.0,1.004824548855895,nan,nan,nan,2.548856571999733e-09,4.1191568529563406e-10,2.557619552920237e-09,nan,6.18781139681633,6.209085121593803,nan,nan,1.003438004718182
252.0,1.012863145246742,nan,nan,nan,2.7533316551828033e-09,4.589920503215408e-10,2.7728644218391754e-09,nan,5.998647805019702,6.041203589248838,nan,nan,1.0070942295017762
254.0,1.0209017416375892,nan,nan,nan,2.971795043479447e-09,5.106096641638456e-10,3.003612843238227e-09,nan,5.82009165131244,5.882405003353836,nan,nan,1.0107065929154815
256.0,1.0289403380284363,nan,nan,nan,3.20501507047672e-09,5.671219122936772e-10,3.250763761883066e-09,nan,5.651368781562864,5.73203695962941,nan,nan,1.0142740955659661
258.0,1.0369789344192835,nan,nan,nan,3.453790056912205e-09,6.289025358087662e-10,3.5152532140532184e-09,nan,5.491773144896998,5.589503959516742,nan,nan,1.0177958579207804
260.0,1.0450175308101308,nan,nan,nan,3.7189488577111893e-09,6.963463213720289e-10,3.798055041311939e-09,nan,5.340659875080046,5.45426165794706,nan,nan,1.0212711135934887
262.0,1.053056127200978,nan,nan,nan,4.001351395299424e-09,7.698697898520845e-10,4.10018158496134e-09,nan,5.197439161846064,5.3258117658430395,nan,nan,1.0246992028188318
264.0,1.061094723591825,nan,nan,nan,4.301889178559853e-09,8.499118826471618e-10,4.422684360247529e-09,nan,5.061570812683612,5.20369752505695,nan,nan,1.0280795661333413
266.0,1.0691333199826722,nan,nan,nan,4.621485806833235e-09,9.369346446846321e-10,4.766654709430317e-09,nan,4.932559419220543,5.0874996847136025,nan,nan,1.0314117382730978
268.0,1.0771719163735194,nan,nan,nan,4.9610974583947965e-09,1.031423903101892e-09,5.133224432882901e-09,nan,4.809950053973783,4.9768329175281885,nan,nan,1.0346953422970646
270.0,1.0852105127643665,nan,nan,nan,5.32171336287122e-09,1.133889940630149e-09,5.523566397438083e-09,nan,4.6933244331577075,4.871342622872562,nan,nan,1.0379300839416044
272.0,1.0932491091552137,nan,nan,nan,5.704356257095553e-09,1.2448681627209634e-09,5.938895121249976e-09,nan,4.582297489741636,4.770702070385567,nan,nan,1.0411157462093439
274.0,1.1012877055460608,nan,nan,nan,6.110082823930407e-09,1.3649197574758216e-09,6.380467334492293e-09,nan,4.476514308232982,4.674609843945583,nan,nan,1.0442521841934636
276.0,1.109326301936908,nan,nan,nan,6.539984113622937e-09,1.4946323474613233e-09,6.84958251526661e-09,nan,4.375647378923179,4.582787550999298,nan,nan,1.0473393201366916
278.0,1.117364898327755,nan,nan,nan,6.9951859472887514e-09,1.634620632517052e-09,7.3475834001471226e-09,nan,4.279394134721825,4.494977766696257,nan,nan,1.0503771387228036
280.0,1.1254034947186022,nan,nan,nan,7.476849302154577e-09,1.7855270226890441e-09,7.875856468840124e-09,nan,4.187474738351634,4.410942186122115,nan,nan,1.0533656825971558
282.0,1.1334420911094494,nan,nan,nan,7.986170678222666e-09,1.9480222604494314e-09,8.435832402488741e-09,nan,4.099630091691131,4.330459961244229,nan,nan,1.0563050481117626
284.0,1.1414806875002967,nan,nan,nan,8.524382446052905e-09,2.122806031391792e-09,9.028986516923334e-09,nan,4.0156200425264466,4.253326202867244,nan,nan,1.0591953814911341
286.0,1.1495192838911439,nan,nan,nan,9.092753175390667e-09,2.310607562621955e-09,9.656839160181205e-09,nan,3.935221766985257,4.179350624656978,nan,nan,1.0620368741908912
288.0,1.157557880281991,nan,nan,nan,9.692587944400816e-09,2.5121862080954246e-09,1.0320956099752249e-08,nan,3.8582283085413094,4.1083563258540945,nan,nan,1.0648297605299961
290.0,1.1655964766728382,nan,nan,nan,1.032522862929957e-08,2.728332020184782e-09,1.1022948864918407e-08,nan,3.7844472567529635,4.040178681835012,nan,nan,1.0675743134286577
292.0,1.1736350730636853,nan,nan,nan,1.0992054174207416e-08,2.9598663067937474e-09,1.176447506974197e-08,nan,3.713699550880889,3.974664343027624,nan,nan,1.070270841399874
294.0,1.1816736694545324,nan,nan,nan,1.1694480841076298e-08,3.207642173368258e-09,1.2547238706221439e-08,nan,3.645818395259544,3.9116703260719143,nan,nan,1.0729196855109522
296.0,1.1897122658453796,nan,nan,nan,1.243396243957458e-08,3.472545049189396e-09,1.3372990409208107e-08,nan,3.5806482748084343,3.8510631884616715,nan,nan,1.0755212165226433
298.0,1.1977508622362267,nan,nan,nan,1.3211990536842252e-08,3.755493197367927e-09,1.4243527693003354e-08,nan,3.5180440603918552,3.792718278117523,nan,nan,1.0780758321983817
300.0,1.2057894586270739,nan,nan,nan,1.4030094647057378e-08,4.0574382079951666e-09,1.516069515960011e-08,nan,3.4578701948956683,3.73651905030273,nan,nan,1.0805839547760898
302.0,1.213828055017921,nan,nan,nan,1.4889842400782519e-08,4.379365473940517e-09,1.6126384678574775e-08,nan,3.399999951907362,3.682356445136877,nan,nan,1.0830460285951227
